date_obj,Bones%20to%20peaches%20(tablet) price
2018-08-05,1074
2018-08-06,1074
2018-08-07,1041
2018-08-08,994
2018-08-09,994
2018-08-10,982
2018-08-11,980
2018-08-12,980
2018-08-14,964
2018-08-16,962
2018-08-17,960
2018-08-18,960
2018-08-19,990
2018-08-20,1015
2018-08-21,1015
2018-08-22,998
2018-08-23,998
2018-08-24,973
2018-08-25,965
2018-08-26,965
2018-08-27,964
2018-08-28,965
2018-08-29,965
2018-08-30,963
2018-08-31,961
2018-09-01,975
2018-09-02,975
2018-09-03,984
2018-09-04,1015
2018-09-05,1032
2018-09-06,1032
2018-09-07,1016
2018-09-08,1010
2018-09-09,1010
2018-09-10,1039
2018-09-11,1039
2018-09-12,1089
2018-09-13,1089
2018-09-14,1114
2018-09-15,1141
2018-09-16,1141
2018-09-17,1197
2018-09-18,1233
2018-09-19,1233
2018-09-20,1180
2018-09-21,1180
2018-09-22,1134
2018-09-23,1102
2018-09-24,1082
2018-09-25,1082
2018-09-26,1040
2018-09-27,1040
2018-09-28,998
2018-09-29,998
2018-09-30,1008
2018-10-01,1044
2018-10-02,1044
2018-10-03,1063
2018-10-04,1063
2018-10-05,1047
2018-10-06,1013
2018-10-07,1013
2018-10-08,1023
2018-10-09,1041
2018-10-10,1037
2018-10-11,1029
2018-10-12,1029
2018-10-13,1021
2018-10-14,1021
2018-10-15,1019
2018-10-16,1019
2018-10-17,985
2018-10-18,951
2018-10-19,945
2018-10-20,945
2018-10-21,976
2018-10-22,982
2018-10-23,982
2018-10-24,977
2018-10-25,977
2018-10-26,989
2018-10-27,1010
2018-10-28,998
2018-10-29,998
2018-10-30,971
2018-10-31,949
2018-11-01,933
2018-11-03,919
2018-11-04,916
2018-11-05,919
2018-11-06,933
2018-11-07,933
2018-11-08,940
2018-11-09,940
2018-11-10,927
2018-11-11,927
2018-11-12,930
2018-11-13,955
2018-11-15,959
2018-11-16,969
2018-11-17,973
2018-11-18,980
2018-11-19,980
2018-11-20,1021
2018-11-21,1021
2018-11-22,1069
2018-11-23,1101
2018-11-24,1110
2018-11-25,1091
2018-11-26,1091
2018-11-27,1078
2018-11-28,1033
2018-11-29,1007
2018-12-01,978
2018-12-02,988
2018-12-03,988
2018-12-04,1004
2018-12-05,1004
2018-12-07,1014
2018-12-09,1015
2018-12-10,1052
2018-12-11,1052
2018-12-12,1047
2018-12-13,1092
2018-12-14,1142
2018-12-15,1200
2018-12-16,1214
2018-12-17,1214
2018-12-18,1162
2018-12-19,1103
2018-12-20,1052
2018-12-21,999
2018-12-22,968
2018-12-23,960
2018-12-24,984
2018-12-25,984
2018-12-26,988
2018-12-27,997
2018-12-28,971
2018-12-29,990
2018-12-30,1014
2018-12-31,1021
2019-01-01,994
2019-01-02,983
2019-01-03,976
2019-01-04,990
2019-01-05,1008
2019-01-06,1002
2019-01-08,998
2019-01-10,983
2019-01-11,946
2019-01-12,926
2019-01-13,925
2019-01-14,965
2019-01-15,1014
2019-01-16,1064
2019-01-17,1046
2019-01-18,1022
2019-01-19,1049
2019-01-20,1091
2019-01-21,1105
2019-01-22,1065
2019-01-23,1013
2019-01-24,997
2019-01-25,1008
2019-01-26,1015
2019-01-27,1002
2019-01-28,994
2019-01-29,995
2019-01-30,995
