date_obj,Yellow%20hat price
2018-09-13,985
2018-09-14,985
2018-09-15,996
2018-09-16,996
2018-09-17,996
2018-09-18,967
2018-09-19,967
2018-09-20,967
2018-09-21,952
2018-09-22,952
2018-09-23,966
2018-09-24,966
2018-09-25,966
2018-09-26,974
2018-09-27,974
2018-09-28,974
2018-09-29,986
2018-09-30,986
2018-10-02,1006
2018-10-03,1019
2018-10-04,1019
2018-10-05,1019
2018-10-06,1005
2018-10-07,1005
2018-10-08,1005
2018-10-09,999
2018-10-10,999
2018-10-11,999
2018-10-12,1018
2018-10-13,1018
2018-10-14,1041
2018-10-15,1041
2018-10-16,1041
2018-10-17,1074
2018-10-18,1074
2018-10-19,1074
2018-10-20,1116
2018-10-21,1116
2018-10-22,1152
2018-10-23,1152
2018-10-24,1152
2018-10-25,1123
2018-10-26,1123
2018-10-27,1123
2018-10-28,1084
2018-10-29,1084
2018-10-30,1084
2018-10-31,1105
2018-11-01,1105
2018-11-03,1109
2018-11-04,1109
2018-11-05,1097
2018-11-06,1097
2018-11-07,1097
2018-11-08,1097
2018-11-09,1097
2018-11-10,1118
2018-11-11,1118
2018-11-12,1139
2018-11-13,1139
2018-11-14,1099
2018-11-15,1099
2018-11-16,1054
2018-11-17,1054
2018-11-18,1035
2018-11-19,1035
2018-11-20,1010
2018-11-21,1010
2018-11-22,995
2018-11-23,995
2018-11-24,985
2018-11-25,985
2018-11-26,975
2018-11-27,975
2018-11-28,955
2018-11-29,955
2018-12-01,919
2018-12-02,909
2018-12-03,909
2018-12-04,909
2018-12-05,929
2018-12-07,929
2018-12-09,942
2018-12-10,983
2018-12-11,983
2018-12-12,983
2018-12-13,999
2018-12-14,999
2018-12-15,999
2018-12-16,997
2018-12-17,997
2018-12-18,1020
2018-12-19,1020
2018-12-20,1044
2018-12-21,1044
2018-12-22,1064
2018-12-23,1064
2018-12-24,1051
2018-12-25,1051
2018-12-26,1051
2018-12-27,1035
2018-12-28,1035
2018-12-29,1022
2018-12-30,1022
2018-12-31,1043
2019-01-01,1043
2019-01-02,1055
2019-01-03,1055
2019-01-04,1010
2019-01-05,1029
2019-01-06,1031
2019-01-08,980
2019-01-10,961
2019-01-11,961
2019-01-12,920
2019-01-13,920
2019-01-14,916
2019-01-15,916
2019-01-16,890
2019-01-17,890
2019-01-18,894
2019-01-19,894
2019-01-20,878
2019-01-21,878
2019-01-22,852
2019-01-23,852
2019-01-24,867
2019-01-25,867
2019-01-26,874
2019-01-27,874
2019-01-28,882
2019-01-29,882
2019-01-30,894
2019-01-31,894
2019-02-01,893
2019-02-02,893
2019-02-03,909
2019-02-04,909
2019-02-05,945
2019-02-06,945
