date_obj,Team-1%20cape price
2019-01-13,617
2019-01-14,632
2019-01-15,636
2019-01-16,636
2019-01-17,648
2019-01-18,648
2019-01-19,644
2019-01-20,643
2019-01-21,643
2019-01-22,644
2019-01-23,666
2019-01-24,666
2019-01-25,664
2019-01-26,683
2019-01-28,658
2019-01-29,670
2019-01-30,670
2019-01-31,681
2019-02-01,671
2019-02-02,671
2019-02-03,663
2019-02-04,663
2019-02-05,646
2019-02-06,646
2019-02-07,626
2019-02-08,626
2019-02-09,604
2019-02-10,604
2019-02-11,593
2019-02-12,593
2019-02-13,575
2019-02-14,575
2019-02-15,566
2019-02-16,566
2019-02-17,576
2019-02-18,585
2019-02-19,585
2019-02-20,569
2019-02-21,576
2019-02-22,576
2019-02-23,575
2019-02-24,578
2019-02-25,573
2019-02-26,573
2019-02-27,568
2019-02-28,568
2019-03-01,586
2019-03-02,592
2019-03-03,590
2019-03-04,594
2019-03-05,594
2019-03-06,585
2019-03-07,594
2019-03-08,594
2019-03-09,584
2019-03-10,588
2019-03-11,602
2019-03-12,620
2019-03-13,620
2019-03-14,607
2019-03-15,607
2019-03-16,612
2019-03-17,594
2019-03-18,594
2019-03-19,585
2019-03-20,576
2019-03-21,576
2019-03-22,557
2019-03-23,544
2019-03-24,537
2019-03-25,537
2019-03-26,515
2019-03-27,515
2019-03-28,528
2019-03-29,527
2019-03-30,527
2019-03-31,549
2019-04-01,549
2019-04-02,561
2019-04-03,580
2019-04-04,580
2019-04-05,590
2019-04-06,590
2019-04-07,591
2019-04-08,591
2019-04-09,580
2019-04-10,580
2019-04-11,567
2019-04-12,558
2019-04-13,558
2019-04-14,562
2019-04-15,562
2019-04-16,571
2019-04-17,571
2019-04-18,584
2019-04-19,600
2019-04-20,601
2019-04-21,601
2019-04-22,598
2019-04-23,597
2019-04-24,597
2019-04-25,589
2019-04-26,596
2019-04-27,596
2019-04-28,587
2019-04-29,587
2019-04-30,586
2019-05-01,586
2019-05-02,587
2019-05-03,592
2019-05-04,597
2019-05-05,597
2019-05-06,602
2019-05-07,602
2019-05-08,604
2019-05-09,604
2019-05-10,599
2019-05-11,599
2019-05-12,588
2019-05-13,605
2019-05-14,605
2019-05-15,586
2019-05-16,586
2019-05-17,589
2019-05-18,587
2019-05-19,587
2019-05-20,578
2019-05-21,578
2019-05-22,580
2019-05-23,580
2019-05-24,574
2019-05-25,574
2019-05-26,567
2019-05-27,576
2019-05-28,576
2019-05-29,568
2019-05-30,568
2019-05-31,573
2019-06-01,573
2019-06-02,568
2019-06-03,568
2019-06-04,578
2019-06-05,578
2019-06-06,586
2019-06-07,586
2019-06-08,602
2019-06-09,602
2019-06-10,596
2019-06-11,596
2019-06-12,604
2019-06-13,604
2019-06-14,594
2019-06-15,594
2019-06-16,610
2019-06-17,610
2019-06-18,626
2019-06-19,626
2019-06-20,657
2019-06-21,657
2019-06-22,688
2019-06-23,688
2019-06-24,672
2019-06-25,672
2019-06-26,639
2019-06-27,639
2019-06-28,621
2019-06-29,621
2019-06-30,626
