date_obj,Iron%20battleaxe price
2018-10-15,39
2018-10-16,39
2018-10-17,41
2018-10-18,44
2018-10-19,46
2018-10-20,46
2018-10-21,48
2018-10-22,50
2018-10-23,50
2018-10-24,48
2018-10-25,48
2018-10-26,51
2018-10-27,53
2018-10-28,55
2018-10-29,55
2018-10-30,55
2018-10-31,53
2018-11-01,51
2018-11-03,46
2018-11-04,43
2018-11-05,40
2018-11-06,38
2018-11-07,36
2018-11-08,34
2018-11-09,32
2018-11-10,30
2018-11-11,28
2018-11-12,26
2018-11-13,24
2018-11-14,22
2018-11-15,20
2018-11-16,19
2018-11-17,18
2018-11-18,17
2018-11-19,17
2018-11-20,16
2018-11-21,16
2018-11-22,16
2018-11-23,16
2018-11-24,15
2018-11-25,14
2018-11-26,14
2018-11-27,14
2018-11-28,14
2018-11-29,13
2018-12-01,13
2018-12-02,13
2018-12-03,13
2018-12-04,13
2018-12-05,13
2018-12-07,13
2018-12-09,13
2018-12-10,14
2018-12-11,15
2018-12-12,15
2018-12-13,15
2018-12-14,15
2018-12-15,15
2018-12-16,15
2018-12-17,15
2018-12-18,16
2018-12-19,17
2018-12-20,17
2018-12-21,17
2018-12-22,18
2018-12-23,18
2018-12-24,18
2018-12-25,18
2018-12-26,18
2018-12-27,18
2018-12-28,18
2018-12-29,18
2018-12-30,18
2018-12-31,17
2019-01-01,16
2019-01-02,16
2019-01-03,16
2019-01-04,16
2019-01-05,16
2019-01-06,16
2019-01-08,16
2019-01-10,16
2019-01-11,16
2019-01-12,16
2019-01-13,16
2019-01-14,16
2019-01-15,16
2019-01-16,16
2019-01-17,16
2019-01-18,15
2019-01-19,14
2019-01-20,13
2019-01-21,12
2019-01-22,12
2019-01-23,12
2019-01-24,12
2019-01-25,12
2019-01-26,12
2019-01-27,12
2019-01-28,12
2019-01-29,13
2019-01-30,14
2019-01-31,15
2019-02-01,16
2019-02-02,16
2019-02-03,16
2019-02-04,16
2019-02-05,16
2019-02-06,16
2019-02-07,16
2019-02-08,17
2019-02-09,17
2019-02-10,16
2019-02-11,16
2019-02-12,16
2019-02-13,16
2019-02-14,16
2019-02-15,16
