date_obj,Blue%20hat price
2018-11-07,637
2018-11-08,637
2018-11-09,634
2018-11-10,638
2018-11-11,638
2018-11-12,659
2018-11-13,659
2018-11-15,668
2018-11-16,688
2018-11-17,688
2018-11-18,665
2018-11-19,665
2018-11-20,641
2018-11-21,641
2018-11-22,652
2018-11-23,652
2018-11-24,666
2018-11-25,633
2018-11-26,633
2018-11-27,621
2018-11-28,621
2018-11-29,609
2018-12-01,601
2018-12-02,601
2018-12-03,595
2018-12-04,595
2018-12-05,579
2018-12-07,564
2018-12-09,563
2018-12-10,547
2018-12-11,547
2018-12-12,542
2018-12-13,542
2018-12-14,549
2018-12-15,549
2018-12-16,554
2018-12-17,554
2018-12-18,545
2018-12-19,545
2018-12-20,527
2018-12-21,527
2018-12-22,506
2018-12-23,511
2018-12-24,511
2018-12-25,512
2018-12-26,512
2018-12-27,520
2018-12-28,520
2018-12-29,517
2018-12-30,517
2018-12-31,524
2019-01-01,524
2019-01-02,522
2019-01-03,522
2019-01-04,524
2019-01-05,536
2019-01-06,560
2019-01-08,570
2019-01-10,569
2019-01-11,569
2019-01-12,563
2019-01-13,563
2019-01-14,559
2019-01-15,559
2019-01-16,548
2019-01-17,548
2019-01-18,524
2019-01-19,524
2019-01-20,507
2019-01-21,507
2019-01-22,513
2019-01-23,513
2019-01-24,523
2019-01-25,523
2019-01-26,544
2019-01-27,544
2019-01-28,550
2019-01-29,542
2019-01-30,542
2019-01-31,534
2019-02-01,526
2019-02-02,526
2019-02-03,515
2019-02-04,515
2019-02-05,524
2019-02-06,524
2019-02-07,511
2019-02-08,511
2019-02-09,511
2019-02-10,511
2019-02-11,490
2019-02-12,490
2019-02-13,465
2019-02-14,465
2019-02-15,441
2019-02-16,441
2019-02-17,429
2019-02-18,429
2019-02-19,446
2019-02-20,446
2019-02-21,452
2019-02-22,452
2019-02-23,450
2019-02-24,450
2019-02-25,447
2019-02-26,447
2019-02-27,465
2019-02-28,465
2019-03-01,487
2019-03-02,487
2019-03-03,505
2019-03-04,505
2019-03-05,521
2019-03-06,521
2019-03-07,538
2019-03-08,538
2019-03-09,538
2019-03-10,536
2019-03-11,536
2019-03-12,552
2019-03-13,552
2019-03-14,539
2019-03-15,539
2019-03-16,552
2019-03-17,555
2019-03-18,555
2019-03-19,564
2019-03-20,564
2019-03-21,577
2019-03-22,577
2019-03-23,593
2019-03-24,593
2019-03-25,604
2019-03-26,604
2019-03-27,611
2019-03-28,611
2019-03-29,634
2019-03-30,634
2019-03-31,634
2019-04-01,638
2019-04-02,638
2019-04-03,619
2019-04-04,619
2019-04-05,633
2019-04-06,633
2019-04-07,630
2019-04-08,630
2019-04-09,630
2019-04-10,630
2019-04-11,647
2019-04-12,647
2019-04-13,670
2019-04-14,670
2019-04-15,656
2019-04-16,656
2019-04-17,633
2019-04-18,633
2019-04-19,606
2019-04-20,606
2019-04-21,577
2019-04-22,577
2019-04-23,571
2019-04-24,571
2019-04-25,571
2019-04-26,571
2019-04-27,563
2019-04-28,563
2019-04-29,545
2019-04-30,545
2019-05-01,529
2019-05-02,529
2019-05-03,539
2019-05-04,539
2019-05-05,560
2019-05-06,560
2019-05-07,560
2019-05-08,555
2019-05-09,555
2019-05-10,555
2019-05-11,541
2019-05-12,541
2019-05-13,553
2019-05-14,553
2019-05-15,553
2019-05-16,576
2019-05-17,576
2019-05-18,569
2019-05-19,569
2019-05-20,569
2019-05-21,560
2019-05-22,560
2019-05-23,535
2019-05-24,535
2019-05-25,509
2019-05-26,509
2019-05-27,484
2019-05-28,484
2019-05-29,481
2019-05-30,481
2019-05-31,481
2019-06-01,464
2019-06-02,464
2019-06-03,464
2019-06-04,443
2019-06-05,443
2019-06-06,443
2019-06-07,456
2019-06-08,456
2019-06-09,472
2019-06-10,472
2019-06-11,472
2019-06-12,481
2019-06-13,481
2019-06-14,481
2019-06-15,495
2019-06-16,495
2019-06-17,476
2019-06-18,476
2019-06-19,476
2019-06-20,473
2019-06-21,473
2019-06-22,473
2019-06-23,476
2019-06-24,476
2019-06-25,476
2019-06-26,474
2019-06-27,474
2019-06-28,474
2019-06-29,462
2019-06-30,462
2019-07-01,462
2019-07-02,467
2019-07-03,467
2019-07-04,467
2019-07-05,489
2019-07-06,489
2019-07-07,489
2019-07-08,502
2019-07-09,502
2019-07-10,502
2019-07-11,503
2019-07-12,503
2019-07-13,503
2019-07-14,481
2019-07-15,481
2019-07-16,481
2019-07-17,481
2019-07-18,491
2019-07-19,491
2019-07-20,491
2019-07-21,497
2019-07-22,497
2019-07-23,497
2019-07-24,504
2019-07-25,504
2019-07-26,504
2019-07-27,493
2019-07-28,493
2019-07-29,493
2019-07-30,480
2019-07-31,480
2019-08-01,480
2019-08-02,480
2019-08-03,471
2019-08-04,471
2019-08-05,471
2019-08-06,471
2019-08-07,489
2019-08-08,489
2019-08-09,489
2019-08-10,489
2019-08-11,507
2019-08-12,507
2019-08-13,507
2019-08-14,507
2019-08-15,505
2019-08-16,505
2019-08-17,505
2019-08-18,508
2019-08-19,508
2019-08-20,508
2019-08-21,530
2019-08-22,530
2019-08-23,530
2019-08-24,524
2019-08-24,524
2019-08-25,524
2019-08-25,524
2019-08-26,524
2019-08-26,524
2019-08-27,524
2019-08-27,524
2019-08-28,509
2019-08-29,509
2019-08-30,509
2019-08-31,509
2019-09-01,502
2019-09-02,502
2019-09-03,502
2019-09-04,502
2019-09-05,493
2019-09-06,493
2019-09-07,493
2019-09-08,484
2019-09-09,484
2019-09-10,484
2019-09-11,484
2019-09-12,495
2019-09-13,495
2019-09-14,495
2019-09-15,495
2019-09-16,517
2019-09-17,517
2019-09-18,517
2019-09-19,517
2019-09-20,531
2019-09-21,531
2019-09-22,531
2019-09-23,527
2019-09-24,527
