date_obj,Shark price
2019-03-06,733
2019-03-07,707
2019-03-08,701
2019-03-09,700
2019-03-10,699
2019-03-11,701
2019-03-12,724
2019-03-13,730
2019-03-14,737
2019-03-15,744
2019-03-16,757
2019-03-17,772
2019-03-18,769
2019-03-19,757
2019-03-20,739
2019-03-21,734
2019-03-22,736
2019-03-23,741
2019-03-24,756
2019-03-25,754
2019-03-26,748
2019-03-27,739
2019-03-28,733
2019-03-29,730
2019-03-30,729
2019-03-31,727
2019-04-01,724
2019-04-02,722
2019-04-03,724
2019-04-04,737
2019-04-05,740
2019-04-06,743
2019-04-07,749
2019-04-08,748
2019-04-09,745
2019-04-10,743
2019-04-11,743
2019-04-12,753
2019-04-13,773
2019-04-14,766
2019-04-15,762
2019-04-16,758
2019-04-17,758
2019-04-18,758
2019-04-19,757
2019-04-20,765
2019-04-21,803
2019-04-22,799
2019-04-23,797
2019-04-24,784
2019-04-25,763
2019-04-26,740
2019-04-27,731
2019-04-28,734
2019-04-29,729
2019-04-30,723
2019-05-01,717
2019-05-02,711
2019-05-03,706
2019-05-04,712
2019-05-05,717
2019-05-06,715
2019-05-07,721
2019-05-08,739
2019-05-09,743
2019-05-10,749
2019-05-11,758
2019-05-12,766
2019-05-13,770
2019-05-14,782
2019-05-15,784
2019-05-16,784
2019-05-17,782
2019-05-18,781
2019-05-19,782
2019-05-20,785
2019-05-21,786
2019-05-22,797
2019-05-23,799
2019-05-24,806
2019-05-25,815
2019-05-26,828
2019-05-27,836
2019-05-28,851
2019-05-29,859
2019-05-30,860
2019-05-31,860
2019-06-01,858
2019-06-02,847
2019-06-03,841
2019-06-04,837
2019-06-05,834
2019-06-06,828
2019-06-07,824
2019-06-08,821
2019-06-09,818
2019-06-10,816
2019-06-11,816
2019-06-12,817
2019-06-13,817
2019-06-14,822
2019-06-15,831
2019-06-16,835
2019-06-17,833
2019-06-18,828
2019-06-19,809
2019-06-20,793
2019-06-21,773
2019-06-22,761
2019-06-23,758
2019-06-24,749
2019-06-25,738
2019-06-26,736
2019-06-27,733
2019-06-28,733
2019-06-29,758
2019-06-30,781
2019-07-01,786
2019-07-02,792
2019-07-03,791
2019-07-04,788
2019-07-05,784
2019-07-06,787
2019-07-07,792
2019-07-08,805
2019-07-09,806
2019-07-10,802
2019-07-11,795
2019-07-12,793
