date_obj,Enchant%20sapphire%20or%20opal price
2019-05-09,209
2019-05-10,209
2019-05-11,209
2019-05-12,209
2019-05-13,209
2019-05-14,209
2019-05-15,209
2019-05-16,205
2019-05-17,205
2019-05-18,205
2019-05-19,205
2019-05-20,205
2019-05-21,205
2019-05-22,205
2019-05-23,205
2019-05-24,205
2019-05-25,205
2019-05-26,205
2019-05-27,205
2019-05-28,205
2019-05-29,205
2019-05-30,205
2019-05-31,205
2019-06-01,205
2019-06-02,205
2019-06-03,205
2019-06-04,205
2019-06-05,205
2019-06-06,205
2019-06-07,205
2019-06-08,205
2019-06-09,205
2019-06-10,205
2019-06-11,205
2019-06-12,205
2019-06-13,205
2019-06-14,205
2019-06-15,205
2019-06-16,205
2019-06-17,205
2019-06-18,205
2019-06-19,205
2019-06-20,205
2019-06-21,205
2019-06-22,205
2019-06-23,205
2019-06-24,205
2019-06-25,205
2019-06-26,205
2019-06-27,205
2019-06-28,205
2019-06-29,205
2019-06-30,205
2019-07-01,205
2019-07-02,205
2019-07-03,205
2019-07-04,205
