date_obj,Red%20d'hide%20chaps price
2019-02-13,2830
2019-02-14,2834
2019-02-15,2831
2019-02-16,2831
2019-02-17,2826
2019-02-18,2837
2019-02-19,2782
2019-02-20,2837
2019-02-21,2872
2019-02-22,2891
2019-02-23,2878
2019-02-24,2840
2019-02-25,2850
2019-02-26,2872
2019-02-27,2900
2019-02-28,2863
2019-03-01,2882
2019-03-02,2876
2019-03-03,2870
2019-03-04,2869
2019-03-05,2873
2019-03-06,2865
2019-03-07,2863
2019-03-08,2871
2019-03-09,2865
2019-03-10,2843
2019-03-11,2843
2019-03-12,2831
2019-03-13,2818
2019-03-14,2835
2019-03-15,2845
2019-03-16,2842
2019-03-17,2832
2019-03-18,2848
2019-03-19,2871
2019-03-20,2850
2019-03-21,2838
2019-03-22,2833
2019-03-23,2819
2019-03-24,2811
2019-03-25,2784
