date_obj,Tuna%20potato price
2017-12-02,989
2017-12-03,1004
2017-12-04,994
2017-12-05,999
2017-12-06,1027
2017-12-07,1032
2017-12-08,1030
2017-12-09,1058
2017-12-10,1078
2017-12-11,1092
2017-12-12,1097
2017-12-13,1100
2017-12-14,1078
2017-12-15,1050
2017-12-16,1016
2017-12-17,1016
2017-12-18,992
2017-12-19,999
2017-12-20,995
2017-12-21,1025
2017-12-22,1048
2017-12-23,1028
2017-12-24,1013
2017-12-25,1001
2017-12-26,1000
2017-12-27,1001
2017-12-28,1038
2017-12-29,1055
2017-12-30,1071
2017-12-31,1092
2018-01-01,1117
2018-01-02,1124
2018-01-03,1069
2018-01-04,1032
2018-01-05,1042
2018-01-06,1073
2018-01-07,1066
2018-01-08,1069
2018-01-09,1063
2018-01-10,1009
2018-01-11,973
2018-01-12,953
2018-01-13,951
2018-01-14,918
2018-01-15,931
2018-01-16,935
2018-01-17,929
2018-01-18,922
2018-01-19,922
2018-01-20,901
2018-01-21,891
2018-01-22,879
2018-01-23,871
2018-01-24,858
2018-01-25,848
2018-01-26,833
2018-01-27,842
2018-01-28,881
2018-01-29,856
2018-01-30,841
2018-02-01,862
2018-02-02,853
2018-02-03,874
2018-02-04,888
2018-02-05,865
2018-02-06,844
2018-02-07,844
2018-02-08,833
2018-02-09,824
2018-02-10,813
2018-02-11,820
2018-02-12,852
2018-02-13,883
2018-02-14,908
2018-02-15,948
2018-02-16,969
2018-02-17,954
2018-02-18,935
2018-02-19,901
2018-02-20,857
2018-02-21,834
2018-02-22,847
2018-02-23,846
2018-02-24,842
2018-02-25,830
2018-02-26,824
2018-02-27,818
2018-02-28,814
2018-03-01,847
2018-03-02,847
2018-03-03,885
2018-03-04,925
2018-03-05,944
2018-03-06,929
2018-03-07,945
2018-03-08,923
2018-03-09,923
2018-03-10,914
2018-03-11,930
2018-03-12,935
2018-03-13,959
2018-03-14,967
2018-03-15,972
2018-03-16,967
2018-03-17,956
2018-03-18,941
2018-03-19,927
2018-03-20,926
2018-03-21,922
2018-03-23,928
2018-03-24,920
2018-03-26,984
2018-03-27,980
2018-03-28,984
2018-03-29,981
2018-03-30,942
2018-03-31,953
2018-04-01,953
2018-04-02,973
2018-04-03,933
2018-04-04,913
2018-04-05,902
2018-04-06,891
2018-04-08,891
2018-04-09,871
2018-04-10,886
2018-04-11,893
2018-04-12,889
2018-04-13,892
2018-04-14,897
2018-04-16,881
2018-04-17,886
2018-04-18,847
2018-04-19,864
2018-04-20,864
2018-04-21,891
2018-04-22,903
2018-04-23,892
2018-04-24,881
2018-04-25,861
2018-04-26,868
2018-04-27,888
2018-04-28,907
2018-04-29,926
2018-04-30,921
2018-05-01,924
2018-05-02,911
2018-05-03,902
2018-05-04,894
2018-05-05,910
