date_obj,Circular%20hide price
2019-04-11,31511
2019-04-12,31511
2019-04-13,30086
2019-04-14,30086
2019-04-15,30086
2019-04-16,30086
2019-04-17,30086
2019-04-18,30086
2019-04-19,30086
2019-04-20,30086
2019-04-21,30086
2019-04-22,30086
2019-04-23,28835
2019-04-24,28835
2019-04-25,28835
2019-04-26,28835
2019-04-27,28835
2019-04-28,28835
2019-04-29,28835
2019-04-30,28835
2019-05-01,28835
2019-05-02,28835
2019-05-03,28835
2019-05-04,28835
2019-05-05,28834
2019-05-06,28834
2019-05-07,28834
2019-05-08,28834
2019-05-09,28834
2019-05-10,28834
2019-05-11,28834
2019-05-12,28834
2019-05-13,28834
2019-05-14,28834
2019-05-15,28834
2019-05-16,28834
2019-05-17,28834
2019-05-18,27634
2019-05-19,27634
2019-05-20,27634
2019-05-21,27634
2019-05-22,27634
2019-05-23,27634
2019-05-24,27634
2019-05-25,27634
2019-05-26,27634
2019-05-27,27634
2019-05-28,27634
2019-05-29,27634
2019-05-30,27634
2019-05-31,27930
2019-06-01,27930
2019-06-02,27930
2019-06-03,27930
2019-06-04,27930
2019-06-05,27930
2019-06-06,27930
2019-06-07,27930
2019-06-08,27930
2019-06-09,27930
2019-06-10,27930
2019-06-11,27930
2019-06-12,27930
2019-06-13,27930
2019-06-14,27930
2019-06-15,27990
2019-06-16,27990
2019-06-17,27990
2019-06-18,27990
2019-06-19,27990
2019-06-20,27990
2019-06-21,27990
2019-06-22,27990
2019-06-23,27990
2019-06-24,27990
2019-06-25,27990
2019-06-26,27990
2019-06-27,27990
2019-06-28,27990
2019-06-29,27990
2019-06-30,27990
2019-07-01,28133
2019-07-02,28133
2019-07-03,28133
2019-07-04,28133
2019-07-05,28133
2019-07-06,28133
2019-07-07,28133
2019-07-08,28133
2019-07-09,28133
