date_obj,Black%20shield%20(h5) price
2018-11-25,2410
2018-11-26,2410
2018-11-27,2519
2018-11-28,2519
2018-11-29,2632
2018-12-01,2750
2018-12-02,2750
2018-12-03,2855
2018-12-04,2855
2018-12-05,2945
2018-12-07,2945
2018-12-09,3061
2018-12-10,3178
2018-12-11,3178
2018-12-12,3178
2018-12-13,3322
2018-12-14,3322
2018-12-15,3322
2018-12-16,3221
2018-12-17,3221
2018-12-18,3221
2018-12-19,3084
2018-12-20,3084
2018-12-21,3079
2018-12-22,3079
2018-12-23,3079
2018-12-24,3011
2018-12-25,3011
2018-12-26,3011
2018-12-27,2933
2018-12-28,2933
2018-12-29,2815
2018-12-30,2815
2018-12-31,2720
2019-01-01,2720
2019-01-02,2747
2019-01-03,2747
2019-01-04,2747
2019-01-05,2701
2019-01-06,2701
2019-01-08,2710
2019-01-10,2595
2019-01-11,2595
2019-01-12,2595
2019-01-13,2504
2019-01-14,2504
2019-01-15,2430
2019-01-16,2430
2019-01-17,2430
2019-01-18,2319
2019-01-19,2319
2019-01-20,2245
2019-01-21,2245
2019-01-22,2245
2019-01-23,2167
2019-01-24,2167
2019-01-25,2167
2019-01-26,2107
2019-01-27,2107
2019-01-28,2107
2019-01-29,2067
2019-01-30,2067
2019-01-31,2067
2019-02-01,2075
2019-02-02,2075
2019-02-03,2075
2019-02-04,2015
2019-02-05,2015
2019-02-06,2015
2019-02-07,2022
2019-02-08,2022
2019-02-09,2022
2019-02-10,2105
2019-02-11,2105
2019-02-12,2105
2019-02-13,2038
2019-02-14,2038
2019-02-15,2038
2019-02-16,1963
2019-02-17,1963
2019-02-18,1963
2019-02-19,1935
2019-02-20,1935
2019-02-21,1935
2019-02-22,1883
2019-02-23,1883
2019-02-24,1860
2019-02-25,1860
2019-02-26,1860
2019-02-27,1919
2019-02-28,1919
2019-03-01,1919
2019-03-02,1919
2019-03-03,1981
2019-03-04,1981
2019-03-05,1981
2019-03-06,2017
2019-03-07,2017
2019-03-08,2017
2019-03-09,2017
2019-03-10,1943
2019-03-11,1943
2019-03-12,1929
2019-03-13,1929
2019-03-14,1929
2019-03-15,1929
2019-03-16,1929
2019-03-17,1870
2019-03-18,1870
2019-03-19,1870
2019-03-20,1870
2019-03-21,1789
2019-03-22,1789
2019-03-23,1738
2019-03-24,1738
2019-03-25,1738
2019-03-26,1738
2019-03-27,1686
2019-03-28,1686
2019-03-29,1686
2019-03-30,1622
2019-03-31,1622
2019-04-01,1622
2019-04-02,1622
2019-04-03,1592
2019-04-04,1592
2019-04-05,1592
2019-04-06,1592
2019-04-07,1563
2019-04-08,1563
2019-04-09,1563
2019-04-10,1563
2019-04-11,1629
2019-04-12,1709
2019-04-13,1709
2019-04-14,1791
2019-04-15,1791
2019-04-16,1881
2019-04-17,1881
2019-04-18,1885
2019-04-19,1885
2019-04-20,1857
2019-04-21,1857
2019-04-22,1772
2019-04-23,1772
2019-04-24,1717
2019-04-25,1717
2019-04-26,1769
2019-04-27,1769
2019-04-28,1769
2019-04-29,1856
2019-04-30,1856
2019-05-01,1856
2019-05-02,1948
2019-05-03,1948
