date_obj,Desert%20legs price
2018-09-24,1487
2018-09-25,1487
2018-09-26,1505
2018-09-27,1505
2018-09-28,1505
2018-09-29,1579
2018-09-30,1579
2018-10-01,1579
2018-10-02,1643
2018-10-03,1643
2018-10-04,1643
2018-10-05,1577
2018-10-06,1577
2018-10-07,1623
2018-10-08,1623
2018-10-09,1622
2018-10-10,1622
2018-10-11,1622
2018-10-12,1586
2018-10-13,1586
2018-10-14,1573
2018-10-15,1573
2018-10-16,1573
2018-10-17,1541
2018-10-18,1541
2018-10-19,1501
2018-10-20,1501
2018-10-21,1501
2018-10-22,1467
2018-10-23,1467
2018-10-24,1467
2018-10-25,1454
2018-10-26,1454
2018-10-27,1454
2018-10-28,1381
2018-10-29,1381
2018-10-30,1381
2018-10-31,1311
2018-11-01,1311
2018-11-03,1248
2018-11-04,1248
2018-11-05,1236
2018-11-06,1236
2018-11-07,1174
2018-11-08,1174
2018-11-09,1119
2018-11-10,1063
2018-11-11,1063
2018-11-12,1009
2018-11-13,997
2018-11-14,997
2018-11-15,967
2018-11-16,975
2018-11-17,975
2018-11-18,988
2018-11-19,988
2018-11-20,1023
2018-11-21,1023
2018-11-22,1065
2018-11-23,1065
2018-11-24,1112
2018-11-25,1168
2018-11-26,1168
2018-11-27,1211
2018-11-28,1211
2018-11-29,1211
2018-12-01,1192
2018-12-02,1186
2018-12-03,1186
2018-12-04,1179
2018-12-05,1175
2018-12-07,1176
2018-12-09,1168
2018-12-10,1121
2018-12-11,1121
2018-12-12,1069
2018-12-13,1033
2018-12-14,1033
2018-12-15,994
2018-12-16,984
2018-12-17,984
2018-12-18,988
2018-12-19,988
2018-12-20,980
2018-12-21,980
2018-12-22,972
2018-12-23,925
2018-12-24,925
2018-12-25,894
2018-12-26,894
2018-12-27,889
2018-12-28,889
2018-12-29,873
2018-12-30,873
2018-12-31,835
2019-01-01,835
2019-01-02,828
2019-01-03,828
2019-01-04,824
2019-01-05,804
2019-01-06,763
2019-01-08,731
2019-01-10,705
2019-01-11,705
2019-01-12,704
2019-01-13,704
2019-01-14,704
2019-01-15,704
2019-01-16,716
2019-01-17,716
2019-01-18,742
2019-01-19,772
2019-01-20,785
2019-01-21,785
2019-01-22,797
2019-01-23,797
2019-01-24,821
2019-01-25,821
2019-01-26,855
2019-01-27,855
2019-01-28,879
2019-01-29,904
2019-01-30,904
2019-01-31,935
2019-02-01,959
2019-02-02,959
2019-02-03,989
2019-02-04,989
2019-02-05,976
2019-02-06,976
2019-02-07,972
2019-02-08,972
2019-02-09,967
2019-02-10,967
2019-02-11,968
2019-02-12,968
2019-02-13,959
2019-02-14,959
2019-02-15,939
2019-02-16,939
2019-02-17,928
