date_obj,Ancient%20rune%20armour%20set%20(lg) price
2018-02-16,159864
2018-02-17,160225
2018-02-18,161994
2018-02-19,163468
2018-02-20,161275
2018-02-21,164233
2018-02-22,166372
2018-02-23,167162
2018-02-24,167162
2018-02-25,167355
2018-02-26,164549
2018-02-27,161274
2018-02-28,161367
2018-03-01,160297
2018-03-02,160226
2018-03-03,164218
2018-03-04,166816
2018-03-05,164951
2018-03-06,162698
2018-03-07,161851
2018-03-08,162981
2018-03-09,162646
2018-03-10,162922
2018-03-11,159459
2018-03-12,159031
2018-03-13,160242
2018-03-14,160575
2018-03-15,159930
2018-03-16,161888
2018-03-17,160572
2018-03-18,163598
2018-03-19,164163
2018-03-20,164092
2018-03-21,162010
2018-03-22,160759
2018-03-23,162854
2018-03-24,162459
2018-03-25,160646
2018-03-26,159724
2018-03-27,161219
2018-03-28,161659
2018-03-29,162120
2018-03-30,160237
2018-03-31,159064
2018-04-01,159960
2018-04-02,162138
2018-04-03,161420
2018-04-04,161220
2018-04-05,161752
2018-04-06,164261
2018-04-07,167087
2018-04-08,168832
2018-04-09,169454
2018-04-10,167850
2018-04-11,169363
2018-04-12,169192
2018-04-13,172199
2018-04-14,170566
2018-04-15,167978
2018-04-16,169180
2018-04-17,168887
2018-04-18,168887
2018-04-19,167695
2018-04-20,166070
2018-04-21,166570
2018-04-22,165347
2018-04-23,167265
2018-04-24,171105
2018-04-25,176240
2018-04-26,176240
2018-04-27,174577
2018-04-28,172595
2018-04-29,172081
2018-04-30,170673
2018-05-01,171484
2018-05-02,171484
2018-05-03,172875
2018-05-04,174091
2018-05-05,175889
2018-05-06,175889
2018-05-07,176473
2018-05-08,178782
2018-05-09,180482
2018-05-10,182863
2018-05-11,183514
2018-05-12,182641
2018-05-13,182644
2018-05-14,183664
2018-05-15,184352
2018-05-16,187679
2018-05-17,190372
2018-05-18,191195
2018-05-19,196150
2018-05-20,199564
2018-05-21,197208
2018-05-22,197208
2018-05-23,197216
2018-05-24,195049
2018-05-25,195292
2018-05-26,194770
2018-05-27,194770
2018-05-28,194218
2018-05-29,196050
2018-05-30,196294
2018-05-31,199532
2018-06-01,196393
2018-06-02,194671
2018-06-03,195161
2018-06-04,192978
2018-06-05,190302
2018-06-06,189028
2018-06-07,189929
2018-06-08,190707
2018-06-09,192581
2018-06-10,195191
2018-06-11,195876
2018-06-12,194704
2018-06-13,195405
2018-06-14,194407
2018-06-15,191460
2018-06-16,187864
2018-06-17,184605
2018-06-18,182738
2018-06-19,176748
2018-06-20,176748
2018-06-21,173856
2018-06-22,170953
2018-06-23,170953
2018-06-24,169143
2018-06-25,167835
2018-06-26,166840
2018-06-27,167263
2018-06-28,168077
2018-06-29,169426
2018-06-30,169258
2018-07-01,167064
2018-07-02,166381
2018-07-03,167449
2018-07-04,170221
2018-07-05,167735
2018-07-06,168283
2018-07-07,166879
2018-07-08,167845
2018-07-09,168129
2018-07-10,168415
2018-07-11,168749
2018-07-12,166773
2018-07-13,165178
2018-07-14,164520
2018-07-15,165065
2018-07-16,167643
2018-07-17,168572
2018-07-18,166825
2018-07-19,167163
2018-07-20,167585
2018-07-21,169485
2018-07-22,170722
2018-07-23,170950
2018-07-24,169981
2018-07-25,172408
2018-07-26,173074
2018-07-27,172537
2018-07-28,171874
2018-07-29,172911
2018-07-30,176753
2018-07-31,178197
2018-08-01,181346
2018-08-02,182129
2018-08-03,184543
2018-08-04,183392
2018-08-05,184012
2018-08-06,182004
2018-08-07,184951
2018-08-08,185558
2018-08-09,187139
2018-08-10,185737
2018-08-11,183727
2018-08-12,182961
2018-08-14,180262
2018-08-16,180893
2018-08-17,180553
2018-08-18,179816
2018-08-19,178821
2018-08-20,179309
2018-08-21,179637
2018-08-22,179634
2018-08-23,180384
2018-08-24,182800
2018-08-25,182403
2018-08-26,184059
2018-08-27,183475
2018-08-28,184923
2018-08-29,185158
2018-08-30,186267
2018-08-31,188931
2018-09-01,190725
2018-09-02,188305
2018-09-03,187583
2018-09-04,190820
2018-09-05,192108
2018-09-06,197359
2018-09-07,198148
2018-09-08,202017
2018-09-09,201467
2018-09-10,202241
2018-09-11,204585
2018-09-12,203775
2018-09-13,204777
2018-09-14,203519
2018-09-15,200807
2018-09-16,200523
2018-09-17,201267
2018-09-18,203668
2018-09-19,207436
2018-09-20,206349
2018-09-21,205733
2018-09-22,208911
2018-09-23,211422
2018-09-24,212449
2018-09-25,215799
2018-09-26,220336
2018-09-27,221355
2018-09-28,223916
2018-09-29,221449
2018-09-30,221019
2018-10-01,219437
2018-10-02,220727
2018-10-03,223322
2018-10-04,223322
2018-10-05,221806
2018-10-06,219263
2018-10-07,217585
2018-10-08,214233
2018-10-09,214357
2018-10-10,214308
2018-10-11,217594
2018-10-12,217212
2018-10-13,216475
2018-10-14,216462
2018-10-15,217799
2018-10-16,218205
2018-10-17,216062
2018-10-18,216757
2018-10-19,215785
2018-10-20,214781
2018-10-21,213193
2018-10-22,211968
2018-10-23,209384
2018-10-24,206649
2018-10-25,206919
2018-10-26,202882
2018-10-27,201008
2018-10-28,197766
2018-10-29,194981
2018-10-30,193928
2018-10-31,195780
2018-11-01,199141
2018-11-03,213587
2018-11-04,221883
2018-11-05,232432
2018-11-06,243520
2018-11-07,255617
2018-11-08,268334
2018-11-09,281677
2018-11-10,295761
2018-11-11,310547
2018-11-12,326070
2018-11-13,342360
2018-11-14,359478
2018-11-15,376753
2018-11-16,395461
2018-11-17,415104
2018-11-18,432557
2018-11-19,441316
2018-11-20,441527
2018-11-21,444776
2018-11-22,453757
2018-11-23,455925
2018-11-24,453699
2018-11-25,451596
2018-11-26,446336
2018-11-27,438016
2018-11-28,433347
2018-11-29,423166
2018-12-01,413177
2018-12-02,408184
2018-12-03,402845
2018-12-04,394635
2018-12-05,387963
2018-12-07,374875
2018-12-09,360664
2018-12-10,355968
2018-12-11,350481
2018-12-12,347075
2018-12-13,341992
2018-12-14,336324
2018-12-15,327424
2018-12-16,321110
2018-12-17,318046
2018-12-18,311857
2018-12-19,307034
2018-12-20,302052
2018-12-21,297150
2018-12-22,292548
2018-12-23,292249
2018-12-24,294190
2018-12-25,292948
2018-12-26,290175
2018-12-27,290230
2018-12-28,288335
2018-12-29,288714
2018-12-30,292140
2018-12-31,290508
2019-01-01,287335
2019-01-02,285312
2019-01-03,281667
2019-01-04,279815
2019-01-05,277635
2019-01-06,274815
2019-01-08,270034
2019-01-10,264224
2019-01-11,261329
2019-01-12,259292
2019-01-13,256273
2019-01-14,253269
2019-01-15,249277
2019-01-16,246379
2019-01-17,243414
2019-01-18,240887
2019-01-19,238279
2019-01-20,235522
2019-01-21,233514
2019-01-22,230676
2019-01-23,224668
2019-01-24,221534
2019-01-25,218543
2019-01-26,217496
2019-01-27,215359
2019-01-28,214034
2019-01-29,212472
2019-01-30,210040
2019-01-31,208832
2019-02-01,206910
2019-02-02,206637
2019-02-03,206626
2019-02-04,206634
2019-02-05,205226
2019-02-06,204053
2019-02-07,202022
2019-02-08,203789
2019-02-09,202473
2019-02-10,200476
2019-02-11,199609
2019-02-12,197684
2019-02-13,197107
2019-02-14,196030
2019-02-15,196508
2019-02-16,195139
2019-02-17,195034
2019-02-18,196524
2019-02-19,195227
2019-02-20,196385
2019-02-21,197549
2019-02-22,198289
2019-02-23,198728
2019-02-24,198533
2019-02-25,197672
2019-02-26,197832
2019-02-27,198726
2019-02-28,198759
