date_obj,Katana price
2018-06-04,192856
2018-06-05,189247
2018-06-06,184663
2018-06-07,184663
2018-06-08,181450
2018-06-09,181450
2018-06-10,185470
2018-06-11,185470
2018-06-12,186675
2018-06-13,187363
2018-06-14,191485
2018-06-15,191485
2018-06-16,197032
2018-06-17,199864
2018-06-18,200702
2018-06-19,202094
2018-06-20,202094
2018-06-21,200428
2018-06-22,200077
2018-06-23,200077
2018-06-24,201344
2018-06-25,198864
2018-06-26,198864
2018-06-27,197920
2018-06-28,193457
2018-06-29,192373
2018-06-30,192373
2018-07-01,195788
2018-07-02,195788
2018-07-03,192433
2018-07-04,192433
2018-07-05,189702
2018-07-06,194411
2018-07-07,194411
2018-07-08,199584
2018-07-09,194203
2018-07-10,191494
2018-07-11,191388
2018-07-12,189394
2018-07-13,189194
2018-07-14,191246
2018-07-15,191246
2018-07-16,192818
2018-07-17,195176
2018-07-18,195100
2018-07-19,195100
2018-07-20,193061
2018-07-21,189084
2018-07-22,189112
2018-07-23,193184
2018-07-24,194536
2018-07-25,194536
2018-07-26,197274
2018-07-27,198197
2018-07-28,198197
2018-07-29,199319
2018-07-30,199319
2018-07-31,199187
2018-08-01,199187
2018-08-02,198929
2018-08-03,198929
2018-08-04,197619
2018-08-05,201630
2018-08-06,198912
2018-08-07,199716
2018-08-08,201079
2018-08-09,201079
2018-08-10,202186
2018-08-11,201440
2018-08-12,201058
2018-08-14,202932
2018-08-16,201191
2018-08-17,197995
2018-08-18,197995
2018-08-19,195592
2018-08-20,191951
2018-08-21,184029
2018-08-22,179602
2018-08-23,179804
2018-08-24,180609
2018-08-25,181096
2018-08-26,181096
2018-08-27,183186
2018-08-28,191561
2018-08-29,200732
2018-08-30,210373
2018-08-31,220646
2018-09-01,228073
2018-09-02,228073
2018-09-03,231293
2018-09-04,235605
2018-09-05,241038
2018-09-06,241038
2018-09-07,240621
2018-09-08,240311
2018-09-09,243304
2018-09-10,245572
2018-09-11,245572
2018-09-12,257508
2018-09-13,257508
2018-09-14,269175
2018-09-15,270733
2018-09-16,270733
2018-09-17,269529
2018-09-18,261941
2018-09-19,261941
2018-09-20,261604
2018-09-21,261604
2018-09-22,255763
2018-09-23,245550
2018-09-24,240325
2018-09-25,240325
2018-09-26,237287
2018-09-27,231253
2018-09-28,227509
2018-09-29,222234
2018-09-30,220624
2018-10-02,222038
2018-10-03,221630
2018-10-04,221630
2018-10-05,219021
2018-10-06,220412
2018-10-07,220412
2018-10-08,221185
2018-10-09,224887
2018-10-10,233872
2018-10-11,242192
2018-10-12,242192
2018-10-13,241435
2018-10-14,234566
2018-10-15,226391
2018-10-16,218960
2018-10-17,215473
2018-10-18,212812
2018-10-19,211791
2018-10-20,211791
2018-10-21,208098
2018-10-22,208591
2018-10-23,208591
2018-10-24,200472
2018-10-25,194602
2018-10-26,189495
2018-10-27,189805
2018-10-28,184713
2018-10-29,184713
2018-10-30,176399
2018-10-31,176912
2018-11-01,185631
2018-11-03,201789
2018-11-04,207576
2018-11-05,214009
2018-11-06,222731
2018-11-07,230924
2018-11-08,233798
2018-11-09,235384
2018-11-10,242171
2018-11-11,254100
2018-11-12,266777
2018-11-13,279192
2018-11-14,289720
2018-11-15,303671
2018-11-16,314048
2018-11-17,328083
2018-11-18,340277
2018-11-19,344413
2018-11-20,351066
2018-11-21,359213
2018-11-22,363632
2018-11-23,366545
2018-11-24,369972
2018-11-25,370974
2018-11-26,387734
2018-11-27,402703
2018-11-28,408620
2018-11-29,402461
2018-12-01,398012
2018-12-02,384836
2018-12-03,384836
2018-12-04,378707
2018-12-05,368431
2018-12-07,354334
2018-12-09,328023
2018-12-10,313458
2018-12-11,306574
2018-12-12,296649
2018-12-13,288430
2018-12-14,284299
2018-12-15,282929
2018-12-16,275026
2018-12-17,265350
2018-12-18,257721
2018-12-19,245096
2018-12-20,236076
2018-12-21,231374
2018-12-22,229290
2018-12-23,226400
2018-12-24,225818
2018-12-25,229984
2018-12-26,232690
2018-12-27,236697
2018-12-28,248316
2018-12-29,260061
2018-12-30,272249
2018-12-31,285651
2019-01-01,291908
2019-01-02,301476
2019-01-03,305107
2019-01-04,304778
2019-01-05,304661
2019-01-06,298105
2019-01-08,299216
2019-01-10,294499
2019-01-11,295163
2019-01-12,294079
2019-01-13,286130
2019-01-14,277912
2019-01-15,271653
2019-01-16,267809
2019-01-17,259627
2019-01-18,251334
2019-01-19,243344
2019-01-20,235169
2019-01-21,229907
2019-01-22,223398
2019-01-23,217059
2019-01-24,213032
2019-01-25,210733
2019-01-26,210604
2019-01-27,209372
2019-01-28,205888
2019-01-29,207112
2019-01-30,206725
2019-01-31,206725
2019-02-01,200804
2019-02-02,199994
2019-02-03,200156
2019-02-04,200156
2019-02-05,204961
2019-02-06,210263
2019-02-07,212300
2019-02-08,212321
2019-02-09,218795
2019-02-10,222239
2019-02-11,224424
2019-02-12,224743
2019-02-13,226646
2019-02-14,226646
2019-02-15,224861
2019-02-16,217343
2019-02-17,212486
2019-02-18,218660
2019-02-19,225168
2019-02-20,236427
2019-02-21,248249
2019-02-22,260602
2019-02-23,270681
2019-02-24,267901
2019-02-25,262700
2019-02-26,262004
2019-02-27,256700
2019-02-28,246478
2019-03-01,238469
2019-03-02,232883
2019-03-03,225467
2019-03-04,221308
2019-03-05,220252
2019-03-06,220355
2019-03-07,217343
2019-03-08,217343
2019-03-09,211548
2019-03-10,209642
2019-03-11,209503
2019-03-12,215020
2019-03-13,215020
2019-03-14,222104
2019-03-15,222104
2019-03-16,227002
2019-03-17,236968
