date_obj,Dragon%20chainbody%20ornament%20kit price
2018-05-22,32120
2018-05-23,31894
2018-05-24,31894
2018-05-25,31509
2018-05-26,30158
2018-05-27,30158
2018-05-28,29447
2018-05-29,29089
2018-05-30,28557
2018-05-31,28657
2018-06-01,28657
2018-06-02,29770
2018-06-03,29770
2018-06-04,29595
2018-06-05,29080
2018-06-06,28133
2018-06-07,28133
2018-06-08,27586
2018-06-09,27586
2018-06-10,26825
2018-06-11,26825
2018-06-12,25483
2018-06-13,24472
2018-06-14,23957
2018-06-15,23957
2018-06-16,23672
2018-06-17,22701
2018-06-18,22029
2018-06-19,21167
2018-06-20,21167
2018-06-21,20752
2018-06-22,20443
2018-06-23,20443
2018-06-24,19869
2018-06-25,19065
2018-06-26,18770
2018-06-27,18770
2018-06-28,18264
2018-06-29,18999
2018-06-30,18999
2018-07-01,19759
2018-07-02,19759
2018-07-03,20658
2018-07-04,20658
2018-07-05,21566
2018-07-06,22484
2018-07-07,23191
2018-07-08,24173
2018-07-09,24376
2018-07-10,24616
2018-07-11,25180
2018-07-12,25180
2018-07-13,25466
2018-07-14,25299
2018-07-15,25299
2018-07-16,25588
2018-07-17,26194
2018-07-18,26194
2018-07-19,27161
2018-07-20,27917
2018-07-21,27174
2018-07-22,27402
2018-07-23,27717
2018-07-24,27636
2018-07-25,27385
2018-07-26,27290
2018-07-27,27012
2018-07-28,26573
2018-07-29,26122
2018-07-30,26260
2018-07-31,26077
2018-08-01,26077
2018-08-02,26053
2018-08-03,26053
2018-08-04,25692
2018-08-05,25921
2018-08-06,25941
2018-08-07,26081
2018-08-08,25962
2018-08-09,25472
2018-08-10,25294
2018-08-11,25578
2018-08-12,25550
2018-08-14,25637
2018-08-16,25844
2018-08-17,26052
2018-08-18,26052
2018-08-19,25609
2018-08-20,25113
2018-08-21,25113
2018-08-22,24606
2018-08-23,24158
2018-08-24,23136
2018-08-25,22232
2018-08-26,21815
2018-08-27,21033
2018-08-28,20853
2018-08-29,20701
2018-08-30,20436
2018-08-31,20465
2018-09-01,20598
2018-09-02,21134
2018-09-03,21184
2018-09-04,21235
2018-09-05,21761
2018-09-06,21761
2018-09-07,22082
2018-09-08,22313
2018-09-09,22291
2018-09-10,22386
2018-09-11,22386
2018-09-12,22431
2018-09-13,21381
2018-09-14,20311
2018-09-15,19400
2018-09-16,19116
2018-09-17,18687
2018-09-18,17983
2018-09-19,17596
2018-09-20,16747
2018-09-21,16075
2018-09-22,15479
2018-09-23,15096
2018-09-24,14488
2018-09-25,14488
2018-09-26,14182
2018-09-27,13748
2018-09-28,13381
2018-09-29,13146
2018-09-30,13181
2018-10-01,12835
2018-10-02,13043
2018-10-03,13596
2018-10-04,13596
2018-10-05,14276
2018-10-06,14990
2018-10-07,15680
2018-10-08,16464
2018-10-09,17288
2018-10-10,18153
2018-10-11,19028
2018-10-12,19967
2018-10-13,20966
2018-10-14,21993
2018-10-15,23029
2018-10-16,24146
2018-10-17,25354
2018-10-18,26622
2018-10-19,27954
2018-10-20,27954
2018-10-21,29340
2018-10-22,30807
2018-10-23,32270
2018-10-24,33884
2018-10-25,35579
2018-10-26,37187
2018-10-27,39047
2018-10-28,40954
2018-10-29,40954
2018-10-30,42945
2018-10-31,44709
2018-11-01,46041
2018-11-03,48912
2018-11-04,49367
2018-11-05,50137
2018-11-06,49989
2018-11-07,51380
2018-11-08,52027
2018-11-09,53620
2018-11-10,55911
2018-11-11,57875
2018-11-12,59648
2018-11-13,61885
2018-11-14,64683
2018-11-15,67787
2018-11-16,71126
2018-11-17,74255
2018-11-18,77309
2018-11-19,78927
2018-11-20,80103
2018-11-21,81782
2018-11-22,83264
2018-11-23,83128
2018-11-24,85282
2018-11-25,87818
2018-11-26,89787
2018-11-27,92001
2018-11-28,93389
2018-11-29,94757
2018-12-01,95982
2018-12-02,94950
2018-12-03,95780
2018-12-04,95643
2018-12-05,95065
2018-12-07,93883
2018-12-09,90615
2018-12-10,89124
2018-12-11,86664
2018-12-12,85272
2018-12-13,84716
2018-12-14,82287
2018-12-15,81694
2018-12-16,79564
2018-12-17,76452
2018-12-18,73094
2018-12-19,71472
2018-12-20,70325
2018-12-21,70998
2018-12-22,71392
2018-12-23,69955
2018-12-24,68511
2018-12-25,67616
2018-12-26,66272
2018-12-27,64372
2018-12-28,63362
2018-12-29,62444
2018-12-30,60591
2018-12-31,58776
2019-01-01,57129
2019-01-02,55512
2019-01-03,54708
2019-01-04,54201
2019-01-05,52045
2019-01-06,49879
2019-01-08,47855
2019-01-10,44368
2019-01-11,43293
2019-01-12,42054
2019-01-13,40236
2019-01-14,39287
2019-01-15,38101
2019-01-16,36428
2019-01-17,35410
2019-01-18,34367
2019-01-19,33699
2019-01-20,32966
2019-01-21,32589
2019-01-22,32348
2019-01-23,32078
2019-01-24,31293
2019-01-25,29982
2019-01-26,29306
2019-01-27,28554
2019-01-28,28089
2019-01-29,27516
2019-01-30,26871
2019-01-31,26007
2019-02-01,25661
2019-02-02,24649
2019-02-03,23975
2019-02-04,22960
2019-02-05,22469
2019-02-06,21345
2019-02-07,20574
2019-02-08,19933
2019-02-09,19109
2019-02-10,18655
2019-02-11,18336
2019-02-12,17819
2019-02-13,17310
2019-02-14,16613
2019-02-15,16940
2019-02-16,17582
2019-02-17,17600
2019-02-18,17658
2019-02-19,17472
2019-02-20,17074
2019-02-21,17711
2019-02-22,18495
2019-02-23,19130
2019-02-24,19869
2019-02-25,20345
2019-02-26,20846
2019-02-27,21076
2019-02-28,20920
2019-03-01,20469
2019-03-02,19778
2019-03-03,19264
2019-03-04,19080
2019-03-05,18327
2019-03-06,17946
