date_obj,Rock-shell%20helm price
2017-08-24,36079
2017-08-25,36079
2017-08-26,34304
2017-08-27,34304
2017-08-28,34304
2017-08-29,34304
2017-08-30,34304
2017-08-31,34304
2017-09-01,34304
2017-09-02,34304
2017-09-03,32604
2017-09-04,32604
2017-09-05,32604
2017-09-06,32604
2017-09-07,32604
2017-09-08,32604
2017-09-09,32604
2017-09-10,32604
2017-09-11,30995
2017-09-12,30995
2017-09-13,30995
2017-09-14,30995
2017-09-15,30995
2017-09-16,30995
2017-09-17,30995
2017-09-19,29483
2017-09-20,29483
2017-09-21,29483
2017-09-22,29483
2017-09-23,29483
2017-09-24,29483
2017-09-25,28052
2017-09-26,28052
2017-09-27,28052
2017-09-28,28052
2017-09-29,28052
2017-09-30,28052
2017-10-01,28052
2017-10-02,26674
2017-10-03,26674
2017-10-04,26674
2017-10-05,26674
2017-10-06,26674
2017-10-07,26674
2017-10-08,26674
2017-10-09,26674
2017-10-10,26674
2017-10-11,26674
2017-10-12,25997
2017-10-13,25997
2017-10-14,25997
2017-10-15,25997
2017-10-16,25997
2017-10-17,25997
2017-10-18,25997
2017-10-19,25997
2017-10-20,25997
2017-10-21,24746
2017-10-22,24746
2017-10-23,24746
2017-10-24,24746
2017-10-25,24746
2017-10-26,24746
2017-10-27,24746
2017-10-28,24746
2017-10-29,24298
2017-10-30,24298
2017-10-31,24298
2017-11-01,24298
2017-11-02,24298
2017-11-03,24298
2017-11-04,24433
2017-11-05,24433
2017-11-06,24433
2017-11-07,24433
2017-11-08,24433
2017-11-09,24433
2017-11-10,24433
2017-11-11,24433
2017-11-12,24106
2017-11-13,24106
2017-11-14,24106
2017-11-15,24106
2017-11-16,24106
2017-11-17,24106
2017-11-18,24106
2017-11-19,23079
2017-11-20,23079
2017-11-21,23079
2017-11-22,23079
2017-11-23,23079
2017-11-24,23079
2017-11-25,23079
2017-11-26,23293
2017-11-27,23293
2017-11-28,23293
2017-11-29,23293
2017-11-30,23293
2017-12-01,23293
2017-12-02,23293
2017-12-03,23293
2017-12-04,23293
2017-12-05,23293
2017-12-06,23313
2017-12-07,23313
2017-12-08,23313
2017-12-09,23313
2017-12-10,23313
2017-12-11,23313
2017-12-12,23313
2017-12-14,23313
2017-12-15,23515
2017-12-16,23515
2017-12-17,23515
2017-12-18,23515
2017-12-19,23515
2017-12-20,23515
2017-12-21,23515
2017-12-22,23515
2017-12-23,23420
2017-12-24,23420
2017-12-25,23420
2017-12-26,23420
2017-12-27,23420
2017-12-28,23420
2017-12-29,23420
2017-12-30,23420
2017-12-31,23745
2018-01-01,23745
2018-01-02,23745
2018-01-03,23745
2018-01-04,23745
2018-01-05,23745
2018-01-06,23745
2018-01-07,23745
2018-01-08,23185
2018-01-09,23185
2018-01-10,23185
2018-01-11,23185
2018-01-12,23185
2018-01-13,23185
2018-01-14,23185
2018-01-15,23185
2018-01-16,23185
2018-01-17,22895
2018-01-18,22895
2018-01-19,22895
2018-01-20,22895
2018-01-21,22895
2018-01-22,22895
2018-01-23,22895
2018-01-24,22899
2018-01-25,22899
2018-01-26,22899
2018-01-27,22899
2018-01-28,22899
2018-01-29,23083
2018-01-31,23083
2018-02-01,23083
2018-02-02,23083
2018-02-03,23083
2018-02-04,22914
2018-02-05,22914
2018-02-06,22914
2018-02-07,22914
2018-02-08,22914
2018-02-09,23135
2018-02-10,23135
2018-02-11,23135
2018-02-12,23135
2018-02-13,23200
2018-02-14,23200
2018-02-15,23200
2018-02-16,23200
2018-02-17,22612
2018-02-18,22612
2018-02-19,22612
2018-02-20,22761
2018-02-21,22761
2018-02-22,22761
2018-02-23,22761
2018-02-24,22761
2018-02-25,23102
2018-02-26,23102
2018-02-27,23102
2018-02-28,23102
2018-03-01,23102
2018-03-02,22884
2018-03-03,22884
2018-03-04,22884
2018-03-05,22884
2018-03-06,22884
2018-03-07,23777
2018-03-08,23777
2018-03-09,23777
2018-03-10,23777
2018-03-11,23777
2018-03-12,23777
2018-03-13,24608
2018-03-14,24608
2018-03-15,24608
2018-03-16,24608
2018-03-17,24608
2018-03-18,24608
2018-03-19,24245
2018-03-20,24245
2018-03-21,24245
2018-03-23,23741
2018-03-24,23741
2018-03-26,23741
2018-03-27,23836
2018-03-29,23836
2018-03-30,23836
2018-03-31,23836
2018-04-01,24113
2018-04-02,24113
2018-04-03,24113
2018-04-04,24113
2018-04-05,24113
2018-04-06,25244
2018-04-08,25244
2018-04-09,25244
2018-04-10,25244
2018-04-11,25244
2018-04-12,26163
2018-04-13,26163
2018-04-14,26163
2018-04-15,26163
2018-04-16,26163
2018-04-17,26163
2018-04-18,25501
2018-04-19,25501
2018-04-20,25501
2018-04-21,25501
2018-04-22,25501
2018-04-23,24519
2018-04-24,24519
2018-04-25,24519
2018-04-26,24519
2018-04-27,24519
2018-04-28,24519
2018-04-29,24601
2018-04-30,24601
2018-05-01,24601
2018-05-02,24601
2018-05-03,24601
2018-05-04,24601
2018-05-05,24529
2018-05-06,24529
2018-05-07,24529
2018-05-08,24529
2018-05-09,24529
2018-05-10,24529
2018-05-11,25133
2018-05-12,25133
2018-05-13,25133
2018-05-14,25133
2018-05-15,25133
2018-05-16,25133
2018-05-17,24570
2018-05-18,24570
2018-05-19,24570
2018-05-20,24570
2018-05-21,24609
2018-05-22,24609
2018-05-23,24609
2018-05-24,24609
2018-05-25,24609
2018-05-26,24609
2018-05-27,24609
2018-05-28,24099
2018-05-29,24099
2018-05-30,24099
2018-05-31,24099
2018-06-01,24099
2018-06-02,23426
2018-06-03,23426
2018-06-04,23426
2018-06-05,23426
2018-06-06,23426
2018-06-07,23426
2018-06-08,22661
2018-06-09,22661
2018-06-10,22661
2018-06-11,22661
2018-06-12,22661
2018-06-13,22660
2018-06-14,22660
2018-06-15,22660
2018-06-16,22660
2018-06-17,22660
2018-06-18,22522
2018-06-19,22522
2018-06-20,22522
2018-06-21,22522
2018-06-22,22522
2018-06-23,21837
2018-06-24,21837
2018-06-25,21837
2018-06-26,21837
2018-06-27,21837
2018-06-28,21893
2018-06-29,21893
2018-06-30,21893
2018-07-01,21893
2018-07-02,21893
2018-07-03,22559
2018-07-04,22559
2018-07-05,22559
2018-07-06,22559
2018-07-07,22559
2018-07-08,22559
2018-07-09,21791
2018-07-10,21791
2018-07-11,21791
2018-07-12,21791
2018-07-13,21791
2018-07-14,21791
2018-07-15,21791
2018-07-16,21791
2018-07-17,22387
2018-07-18,22387
2018-07-19,22387
2018-07-20,22387
2018-07-21,22387
2018-07-22,22387
2018-07-23,22100
2018-07-24,22100
2018-07-25,22100
2018-07-26,22100
2018-07-27,22100
2018-07-28,22079
2018-07-29,22079
2018-07-30,22079
2018-07-31,22279
2018-08-01,22279
2018-08-02,22279
2018-08-03,22279
2018-08-04,22715
2018-08-05,22715
2018-08-06,22715
2018-08-07,22715
2018-08-08,22905
2018-08-09,22905
2018-08-10,22905
2018-08-11,22905
2018-08-12,22043
2018-08-14,22043
2018-08-16,21743
2018-08-17,21743
2018-08-18,21743
2018-08-19,22078
2018-08-20,22078
2018-08-21,22078
2018-08-22,22078
2018-08-23,21885
2018-08-24,21885
2018-08-25,21885
2018-08-26,21885
2018-08-27,21988
2018-08-28,21988
2018-08-29,21988
2018-08-30,21988
2018-08-31,21626
2018-09-01,21626
2018-09-02,21626
2018-09-03,21026
2018-09-04,21026
2018-09-05,21026
2018-09-06,21026
2018-09-07,21006
2018-09-08,21006
2018-09-09,21006
2018-09-10,21006
2018-09-11,21006
2018-09-12,21089
2018-09-13,21089
2018-09-14,21089
2018-09-15,21089
2018-09-16,21089
2018-09-17,21109
2018-09-18,21109
2018-09-19,21109
2018-09-20,21109
2018-09-21,21109
2018-09-22,21185
2018-09-23,21185
2018-09-24,21185
2018-09-25,21185
2018-09-26,21719
2018-09-27,21719
2018-09-28,21719
2018-09-29,21719
2018-09-30,21719
2018-10-02,22186
2018-10-03,22186
2018-10-04,22186
2018-10-05,22186
2018-10-06,21630
2018-10-07,21630
2018-10-08,21630
2018-10-09,21630
2018-10-10,21630
2018-10-11,22057
2018-10-12,22057
2018-10-13,22057
2018-10-14,22057
2018-10-15,22546
2018-10-16,22546
2018-10-17,22546
2018-10-18,22546
2018-10-19,22627
2018-10-20,22627
2018-10-21,22627
2018-10-22,22627
2018-10-23,22627
2018-10-24,22627
2018-10-25,23206
2018-10-26,23206
2018-10-27,23206
2018-10-28,23206
2018-10-29,23206
2018-10-30,23206
2018-10-31,23910
2018-11-01,23910
2018-11-03,23910
2018-11-04,23910
