date_obj,Ham%20hood price
2018-09-17,396
2018-09-18,401
2018-09-19,398
2018-09-20,404
2018-09-21,410
2018-09-22,409
2018-09-23,414
2018-09-24,421
2018-09-25,410
2018-09-26,415
2018-09-27,424
2018-09-28,432
2018-09-29,436
2018-09-30,443
2018-10-01,440
2018-10-02,437
2018-10-03,432
2018-10-04,439
2018-10-05,427
2018-10-06,420
2018-10-07,427
2018-10-08,437
2018-10-09,445
2018-10-10,438
2018-10-11,441
2018-10-12,444
2018-10-13,440
2018-10-14,422
2018-10-15,413
2018-10-16,409
2018-10-17,415
2018-10-18,421
2018-10-19,433
2018-10-20,436
2018-10-21,441
2018-10-22,445
2018-10-23,449
2018-10-24,447
2018-10-25,447
2018-10-26,453
2018-10-27,454
2018-10-28,448
2018-10-29,436
2018-10-30,430
2018-10-31,408
2018-11-01,394
2018-11-03,378
2018-11-04,373
2018-11-05,366
2018-11-06,362
2018-11-07,360
2018-11-08,359
2018-11-09,365
2018-11-10,367
2018-11-11,360
2018-11-12,361
2018-11-13,361
2018-11-14,360
2018-11-15,357
2018-11-16,358
2018-11-17,361
2018-11-18,361
2018-11-19,343
2018-11-20,345
2018-11-21,347
2018-11-22,348
2018-11-23,358
2018-11-24,365
2018-11-25,366
2018-11-26,356
2018-11-27,362
2018-11-28,369
2018-11-29,375
2018-12-01,386
2018-12-02,389
2018-12-03,389
2018-12-04,384
2018-12-05,382
2018-12-07,367
2018-12-09,378
2018-12-10,379
2018-12-11,386
2018-12-12,386
2018-12-13,385
2018-12-14,385
2018-12-15,375
2018-12-16,375
2018-12-17,370
2018-12-18,370
2018-12-19,376
2018-12-20,377
2018-12-21,373
2018-12-22,375
2018-12-23,374
2018-12-24,374
2018-12-25,369
2018-12-26,366
2018-12-27,364
2018-12-28,361
2018-12-29,360
2018-12-30,362
2018-12-31,363
2019-01-01,360
2019-01-02,360
2019-01-03,359
2019-01-04,357
2019-01-05,364
2019-01-06,370
2019-01-08,378
2019-01-10,378
2019-01-11,376
2019-01-12,378
2019-01-13,383
2019-01-14,393
2019-01-15,403
2019-01-16,408
2019-01-17,419
2019-01-18,424
2019-01-19,421
2019-01-20,419
2019-01-21,413
2019-01-22,408
2019-01-23,405
2019-01-24,401
2019-01-25,397
2019-01-26,390
2019-01-27,384
2019-01-28,372
2019-01-29,363
2019-01-30,351
2019-01-31,341
2019-02-01,336
2019-02-02,328
2019-02-03,329
2019-02-04,325
2019-02-05,322
2019-02-06,306
2019-02-07,302
2019-02-08,299
2019-02-09,299
2019-02-10,295
2019-02-11,297
2019-02-12,295
2019-02-13,293
2019-02-14,292
2019-02-15,295
2019-02-16,294
2019-02-17,281
2019-02-18,278
2019-02-19,272
2019-02-20,269
2019-02-21,265
2019-02-22,265
2019-02-23,264
2019-02-24,267
2019-02-25,269
2019-02-26,273
2019-02-27,275
2019-02-28,271
2019-03-01,273
2019-03-02,277
2019-03-03,273
2019-03-04,278
2019-03-05,279
