date_obj,Red%20elegant%20blouse price
2019-01-03,10517
2019-01-04,10517
2019-01-05,10517
2019-01-06,10427
2019-01-08,10427
2019-01-10,10774
2019-01-11,10774
2019-01-12,10774
2019-01-13,10774
2019-01-14,10560
2019-01-15,10560
2019-01-16,10560
2019-01-17,10552
2019-01-18,10552
2019-01-19,10552
2019-01-20,10303
2019-01-21,10303
2019-01-22,10303
2019-01-23,10303
2019-01-24,10256
2019-01-25,10256
2019-01-26,10256
2019-01-27,9947
2019-01-28,9947
2019-01-29,9947
2019-01-30,9570
2019-01-31,9570
2019-02-01,9570
2019-02-02,9258
2019-02-03,9258
2019-02-04,9258
2019-02-05,9258
2019-02-06,9100
2019-02-07,9100
2019-02-08,9100
2019-02-09,9029
2019-02-10,9029
2019-02-11,9029
2019-02-12,9029
2019-02-13,9175
2019-02-14,9175
2019-02-15,9175
2019-02-16,9175
2019-02-17,9611
2019-02-18,9611
2019-02-19,9611
2019-02-20,9611
2019-02-21,9968
2019-02-22,9968
2019-02-23,9968
2019-02-24,9968
2019-02-25,9793
2019-02-26,9793
2019-02-27,9793
2019-02-28,9793
2019-03-01,9793
2019-03-02,9793
2019-03-03,9648
2019-03-04,9648
2019-03-05,9648
2019-03-06,9228
2019-03-07,9228
2019-03-08,9228
2019-03-09,9228
2019-03-10,9228
2019-03-11,9094
2019-03-12,9094
2019-03-13,9094
2019-03-14,9094
2019-03-15,8821
2019-03-16,8821
2019-03-17,8821
2019-03-18,8821
2019-03-19,8821
2019-03-20,8844
2019-03-21,8844
2019-03-22,8844
2019-03-23,8965
2019-03-24,8965
2019-03-25,8965
2019-03-26,8965
