date_obj,Pirate's%20hook price
2018-10-07,5454923
2018-10-08,5454923
2018-10-09,5454923
2018-10-10,5454923
2018-10-11,5454923
2018-10-12,5454923
2018-10-13,5454923
2018-10-14,5454923
2018-10-15,5454923
2018-10-16,5454923
2018-10-17,5454923
2018-10-18,5454923
2018-10-19,5454923
2018-10-20,5454923
2018-10-21,5454923
2018-10-22,5454923
2018-10-23,5454923
2018-10-24,5454923
2018-10-25,5454923
2018-10-26,5454923
2018-10-27,5454923
2018-10-28,5454923
2018-10-29,5454923
2018-10-30,5454923
2018-10-31,5454923
2018-11-01,5454923
2018-11-03,5186144
2018-11-04,5186144
2018-11-05,5186144
2018-11-06,5186144
2018-11-07,5186144
2018-11-08,5186144
2018-11-09,5186144
2018-11-10,5186144
2018-11-11,5186144
2018-11-12,5186144
2018-11-13,5186144
2018-11-15,5186144
2018-11-16,5186144
2018-11-17,5186144
2018-11-18,5186144
2018-11-19,5186144
2018-11-20,5186144
2018-11-21,5186144
2018-11-22,5186144
2018-11-23,5186144
2018-11-24,5186144
2018-11-25,5186144
2018-11-26,5186144
2018-11-27,5186144
2018-11-28,5186144
2018-11-29,5186144
2018-12-01,4932585
2018-12-02,4932585
2018-12-03,4932585
2018-12-04,4932585
2018-12-05,4932585
2018-12-07,4932585
2018-12-09,4932585
2018-12-10,4932585
2018-12-11,4932585
2018-12-12,4932585
2018-12-13,4932585
2018-12-14,4932585
2018-12-15,4932585
2018-12-16,4932585
2018-12-17,4932585
2018-12-18,4932585
2018-12-19,4932585
2018-12-20,4932585
2018-12-21,4932585
2018-12-22,4932585
2018-12-23,4932585
2018-12-24,4932585
2018-12-25,4932585
2018-12-26,4932585
2018-12-27,4932585
2018-12-28,4932585
2018-12-29,4932585
2018-12-30,4932585
2018-12-31,4932585
2019-01-01,4932585
2019-01-02,4693187
2019-01-03,4693187
2019-01-04,4693187
2019-01-05,4693187
2019-01-06,4693187
2019-01-08,4693187
2019-01-10,4693187
2019-01-11,4693187
2019-01-12,4693187
2019-01-13,4693187
2019-01-14,4693187
2019-01-15,4693187
2019-01-16,4693187
2019-01-17,4693187
2019-01-18,4693187
2019-01-19,4693187
2019-01-20,4693187
2019-01-21,4693187
2019-01-22,4693187
2019-01-23,4693187
2019-01-24,4693187
2019-01-25,4693187
2019-01-26,4693187
2019-01-27,4693187
2019-01-28,4693187
2019-01-29,4693187
2019-01-30,4693187
2019-01-31,4693187
2019-02-01,4466399
2019-02-02,4466399
2019-02-03,4466399
2019-02-04,4466399
2019-02-05,4466399
2019-02-06,4466399
2019-02-07,4466399
2019-02-08,4466399
2019-02-09,4466399
2019-02-10,4466399
2019-02-11,4466399
2019-02-12,4466399
2019-02-13,4466399
2019-02-14,4466399
2019-02-15,4466399
2019-02-16,4466399
2019-02-17,4466399
2019-02-18,4466399
2019-02-19,4466399
2019-02-20,4466399
2019-02-21,4466399
2019-02-22,4466399
2019-02-23,4466399
2019-02-24,4466399
2019-02-25,4466399
2019-02-26,4466399
2019-02-27,4466399
2019-02-28,4466399
2019-03-01,4466399
2019-03-02,4466399
2019-03-03,4466399
2019-03-04,4466399
2019-03-05,4466399
2019-03-06,4466399
2019-03-07,4466399
2019-03-08,4466399
2019-03-09,4466399
2019-03-10,4466399
2019-03-11,4466399
2019-03-12,4466399
