date_obj,Graahk%20top price
2018-12-19,1775
2018-12-20,1775
2018-12-21,1775
2018-12-22,1775
2018-12-23,1727
2018-12-24,1727
2018-12-25,1727
2018-12-26,1727
2018-12-27,1727
2018-12-28,1727
2018-12-29,1646
2018-12-30,1646
2018-12-31,1646
2019-01-01,1646
2019-01-02,1646
2019-01-03,1646
2019-01-04,1599
2019-01-05,1599
2019-01-06,1599
2019-01-08,1599
2019-01-10,1533
2019-01-11,1533
2019-01-12,1533
2019-01-13,1533
2019-01-14,1456
2019-01-15,1456
2019-01-16,1456
2019-01-17,1456
2019-01-18,1456
2019-01-19,1398
2019-01-20,1398
2019-01-21,1398
2019-01-22,1398
2019-01-23,1398
2019-01-24,1343
2019-01-25,1343
2019-01-26,1343
2019-01-27,1343
2019-01-28,1343
2019-01-29,1280
2019-01-30,1280
2019-01-31,1280
2019-02-01,1280
2019-02-02,1280
2019-02-03,1243
2019-02-04,1243
2019-02-05,1243
2019-02-06,1243
2019-02-07,1243
2019-02-08,1243
2019-02-09,1206
2019-02-10,1206
2019-02-11,1206
2019-02-12,1206
2019-02-13,1206
2019-02-14,1206
2019-02-15,1205
2019-02-16,1205
2019-02-17,1205
2019-02-18,1205
2019-02-19,1205
2019-02-20,1205
2019-02-21,1211
2019-02-22,1211
2019-02-23,1211
2019-02-24,1211
2019-02-25,1211
2019-02-26,1211
2019-02-27,1211
2019-02-28,1211
2019-03-01,1211
2019-03-02,1211
2019-03-03,1211
2019-03-04,1211
2019-03-05,1176
2019-03-06,1176
2019-03-07,1176
2019-03-08,1176
2019-03-09,1176
2019-03-10,1176
2019-03-11,1176
2019-03-12,1152
2019-03-13,1152
2019-03-14,1152
2019-03-15,1152
2019-03-16,1152
2019-03-17,1152
2019-03-18,1152
2019-03-19,1158
