date_obj,Skull%20piece price
2018-09-27,38997
2018-09-28,38997
2018-09-29,38997
2018-09-30,38997
2018-10-02,38997
2018-10-03,38997
2018-10-04,38997
2018-10-05,38997
2018-10-06,40388
2018-10-07,40388
2018-10-08,40388
2018-10-09,40388
2018-10-10,40388
2018-10-11,40388
2018-10-12,40388
2018-10-13,40388
2018-10-14,40388
2018-10-15,40388
2018-10-16,40388
2018-10-17,40388
2018-10-18,40388
2018-10-19,40388
2018-10-20,40388
2018-10-21,40388
2018-10-22,40388
2018-10-23,40388
2018-10-24,40388
2018-10-25,40388
2018-10-26,40388
2018-10-27,40388
2018-10-28,40388
2018-10-29,40388
2018-10-30,40388
2018-10-31,40388
2018-11-01,40388
2018-11-03,40388
2018-11-04,40388
2018-11-05,40388
2018-11-06,40388
2018-11-07,40388
2018-11-08,40388
2018-11-09,40388
2018-11-10,42325
2018-11-11,42325
2018-11-12,42325
2018-11-13,42325
2018-11-14,42325
2018-11-15,42325
2018-11-16,42325
2018-11-17,42325
2018-11-18,42325
2018-11-19,42325
2018-11-20,42325
2018-11-21,42325
2018-11-22,42325
2018-11-23,42325
2018-11-24,42325
2018-11-25,42325
2018-11-26,42325
2018-11-27,42325
2018-11-28,42325
2018-11-29,42325
2018-12-01,42325
2018-12-02,42325
2018-12-03,42325
2018-12-04,42325
2018-12-05,42325
2018-12-07,42325
2018-12-09,42325
2018-12-10,42325
2018-12-11,42325
2018-12-12,43739
2018-12-13,43739
2018-12-14,43739
2018-12-15,43739
2018-12-16,43739
2018-12-17,43739
2018-12-18,43739
2018-12-19,43739
2018-12-20,43739
2018-12-21,43739
2018-12-22,43739
2018-12-23,43739
2018-12-24,43739
2018-12-25,43739
2018-12-26,43739
2018-12-27,43739
2018-12-28,43739
2018-12-29,43739
2018-12-30,43739
2018-12-31,43739
2019-01-01,43739
2019-01-02,43739
2019-01-03,43739
2019-01-04,43739
2019-01-05,43739
2019-01-06,43739
2019-01-08,43739
2019-01-10,43739
2019-01-11,43739
2019-01-12,43739
2019-01-13,43739
2019-01-14,43739
2019-01-15,42867
2019-01-16,42867
2019-01-17,42867
2019-01-18,42867
2019-01-19,42867
2019-01-20,42867
2019-01-21,42867
2019-01-22,42867
2019-01-23,42867
2019-01-24,42867
2019-01-25,42867
2019-01-26,42867
2019-01-27,42867
2019-01-28,42867
2019-01-29,42867
2019-01-30,42867
2019-01-31,42867
2019-02-01,42867
2019-02-02,42867
2019-02-03,42867
2019-02-04,42867
2019-02-05,42867
2019-02-06,42867
2019-02-07,42867
2019-02-08,42867
2019-02-09,42867
2019-02-10,42867
2019-02-11,42867
2019-02-12,42867
2019-02-13,42867
2019-02-14,42867
2019-02-15,42867
2019-02-16,42867
2019-02-17,42867
2019-02-18,42542
2019-02-19,42542
2019-02-20,42542
2019-02-21,42542
2019-02-22,42542
2019-02-23,42542
2019-02-24,42542
2019-02-25,42542
2019-02-26,42542
2019-02-27,42542
2019-02-28,42542
2019-03-01,42542
2019-03-02,42542
2019-03-03,42542
2019-03-04,42542
2019-03-05,42542
2019-03-06,42542
2019-03-07,42542
2019-03-08,42542
2019-03-09,42542
2019-03-10,42542
2019-03-11,42542
2019-03-12,42542
2019-03-13,42542
2019-03-14,42542
2019-03-15,42542
2019-03-16,42542
2019-03-17,42542
2019-03-18,42542
2019-03-19,42542
2019-03-20,42542
2019-03-21,42542
