date_obj,Blue%20d'hide%20chaps%20(t) price
2018-06-30,2731
2018-07-01,2745
2018-07-02,2745
2018-07-03,2686
2018-07-04,2686
2018-07-05,2725
2018-07-06,2721
2018-07-07,2721
2018-07-08,2685
2018-07-09,2617
2018-07-10,2617
2018-07-11,2622
2018-07-12,2564
2018-07-13,2663
2018-07-14,2652
2018-07-15,2652
2018-07-16,2591
2018-07-17,2544
2018-07-18,2544
2018-07-19,2574
2018-07-20,2656
2018-07-21,2653
2018-07-22,2624
2018-07-23,2590
2018-07-24,2590
2018-07-25,2587
2018-07-26,2658
2018-07-27,2637
2018-07-28,2633
2018-07-29,2624
2018-07-30,2646
2018-07-31,2605
2018-08-01,2605
2018-08-02,2562
2018-08-03,2552
2018-08-04,2524
2018-08-05,2494
2018-08-06,2520
2018-08-07,2464
2018-08-08,2398
2018-08-09,2398
2018-08-10,2419
2018-08-11,2440
2018-08-12,2430
2018-08-14,2409
2018-08-16,2360
2018-08-17,2333
2018-08-18,2333
2018-08-19,2376
2018-08-20,2350
2018-08-21,2368
2018-08-22,2405
2018-08-23,2449
2018-08-24,2453
2018-08-25,2491
2018-08-26,2491
2018-08-27,2539
2018-08-28,2519
2018-08-29,2524
2018-08-30,2462
2018-08-31,2460
2018-09-01,2445
2018-09-02,2445
2018-09-03,2412
2018-09-04,2391
2018-09-05,2335
2018-09-06,2335
2018-09-07,2313
2018-09-08,2355
2018-09-09,2355
2018-09-10,2374
2018-09-11,2374
2018-09-12,2468
2018-09-13,2494
2018-09-14,2485
2018-09-15,2537
2018-09-16,2537
2018-09-17,2595
2018-09-18,2675
2018-09-19,2670
2018-09-20,2749
2018-09-21,2749
2018-09-22,2791
2018-09-23,2887
2018-09-24,2943
2018-09-25,2943
2018-09-26,2959
2018-09-27,2959
2018-09-28,2894
2018-09-29,2823
2018-09-30,2748
2018-10-01,2740
2018-10-02,2740
2018-10-03,2658
2018-10-04,2658
2018-10-05,2733
2018-10-06,2719
2018-10-07,2719
2018-10-08,2772
2018-10-09,2667
2018-10-10,2708
2018-10-11,2776
2018-10-12,2776
2018-10-13,2882
2018-10-14,2902
2018-10-15,2787
2018-10-16,2787
2018-10-17,2772
2018-10-18,2753
2018-10-19,2652
2018-10-20,2652
2018-10-21,2612
2018-10-22,2618
2018-10-23,2618
2018-10-24,2661
2018-10-25,2595
2018-10-26,2595
2018-10-27,2556
2018-10-28,2544
2018-10-29,2544
2018-10-30,2535
2018-10-31,2556
2018-11-01,2516
2018-11-03,2498
2018-11-04,2549
2018-11-05,2567
2018-11-06,2536
2018-11-07,2526
2018-11-08,2548
2018-11-09,2558
2018-11-10,2562
2018-11-11,2532
2018-11-12,2478
2018-11-13,2483
2018-11-15,2420
2018-11-16,2501
2018-11-17,2614
2018-11-18,2661
2018-11-19,2603
2018-11-20,2603
2018-11-21,2649
2018-11-22,2665
2018-11-23,2598
2018-11-24,2595
2018-11-25,2600
2018-11-26,2675
2018-11-27,2777
2018-11-28,2742
2018-11-29,2782
2018-12-01,2746
2018-12-02,2736
2018-12-03,2768
2018-12-04,2776
2018-12-05,2811
2018-12-07,2634
2018-12-09,2508
2018-12-10,2588
2018-12-11,2672
2018-12-12,2790
2018-12-13,2807
2018-12-14,2735
2018-12-15,2713
2018-12-16,2770
2018-12-17,2755
2018-12-18,2737
2018-12-19,2637
2018-12-20,2543
2018-12-21,2494
2018-12-22,2448
2018-12-23,2383
2018-12-24,2342
2018-12-25,2313
2018-12-26,2344
2018-12-27,2346
2018-12-28,2404
2018-12-29,2410
2018-12-30,2341
2018-12-31,2334
2019-01-01,2292
2019-01-02,2309
2019-01-03,2330
2019-01-04,2338
2019-01-05,2344
2019-01-06,2341
2019-01-08,2256
2019-01-10,2310
2019-01-11,2354
2019-01-12,2332
2019-01-13,2343
2019-01-14,2391
2019-01-15,2412
2019-01-16,2439
2019-01-17,2546
2019-01-18,2641
2019-01-19,2764
2019-01-20,2714
2019-01-21,2738
2019-01-22,2690
2019-01-23,2627
2019-01-24,2594
2019-01-25,2516
2019-01-26,2480
2019-01-27,2435
2019-01-28,2362
2019-01-29,2288
2019-01-30,2251
2019-01-31,2307
2019-02-01,2321
2019-02-02,2376
2019-02-03,2439
2019-02-04,2439
2019-02-05,2412
2019-02-06,2412
2019-02-07,2357
2019-02-08,2386
2019-02-09,2420
2019-02-10,2397
2019-02-11,2371
2019-02-12,2299
2019-02-13,2365
2019-02-14,2365
2019-02-15,2349
2019-02-16,2398
2019-02-17,2367
2019-02-18,2337
2019-02-19,2310
2019-02-20,2350
2019-02-21,2418
2019-02-22,2427
2019-02-23,2405
2019-02-24,2398
2019-02-25,2363
2019-02-26,2319
2019-02-27,2400
2019-02-28,2455
2019-03-01,2555
2019-03-02,2477
2019-03-03,2429
2019-03-04,2403
2019-03-05,2347
2019-03-06,2361
2019-03-07,2448
2019-03-08,2448
2019-03-09,2455
2019-03-10,2474
