date_obj,Red%20headband price
2018-08-31,2051
2018-09-01,2031
2018-09-02,2031
2018-09-03,2032
2018-09-04,2032
2018-09-05,2029
2018-09-06,2029
2018-09-07,2028
2018-09-08,2028
2018-09-09,1970
2018-09-10,1938
2018-09-11,1938
2018-09-12,1999
2018-09-13,1999
2018-09-14,2083
2018-09-15,2083
2018-09-16,2145
2018-09-17,2145
2018-09-18,2181
2018-09-19,2181
2018-09-20,2266
2018-09-21,2266
2018-09-22,2345
2018-09-23,2345
2018-09-24,2404
2018-09-25,2404
2018-09-26,2505
2018-09-27,2505
2018-09-28,2575
2018-09-29,2575
2018-09-30,2592
2018-10-02,2626
2018-10-03,2702
2018-10-04,2702
2018-10-05,2702
2018-10-06,2636
2018-10-07,2636
2018-10-08,2622
2018-10-09,2622
2018-10-10,2597
2018-10-11,2597
2018-10-12,2712
2018-10-13,2821
2018-10-14,2821
2018-10-15,2943
2018-10-16,2943
2018-10-17,3013
2018-10-18,3013
2018-10-19,3034
2018-10-20,3034
2018-10-21,2981
2018-10-22,3100
2018-10-23,3100
2018-10-24,3212
2018-10-25,3212
2018-10-26,3244
2018-10-27,3244
2018-10-28,3264
2018-10-29,3264
2018-10-30,3315
2018-10-31,3315
2018-11-01,3183
2018-11-03,3129
2018-11-04,3129
2018-11-05,3091
2018-11-06,3034
2018-11-07,3034
2018-11-08,2967
2018-11-09,2967
2018-11-10,2877
2018-11-11,2877
2018-11-12,2898
2018-11-13,2898
2018-11-14,2902
2018-11-15,2840
2018-11-16,2799
2018-11-17,2799
2018-11-18,2811
2018-11-19,2811
2018-11-20,2879
2018-11-21,2879
2018-11-22,2950
2018-11-23,2950
2018-11-24,3004
2018-11-25,2972
2018-11-26,2972
2018-11-27,3001
2018-11-28,3071
2018-11-29,3069
2018-12-01,3092
2018-12-02,3049
2018-12-03,3049
2018-12-04,3032
2018-12-05,2991
2018-12-07,2895
2018-12-09,2894
2018-12-10,2849
2018-12-11,2849
2018-12-12,2789
2018-12-13,2724
2018-12-14,2724
2018-12-15,2672
2018-12-16,2592
2018-12-17,2592
2018-12-18,2506
2018-12-19,2506
2018-12-20,2410
2018-12-21,2410
2018-12-22,2327
2018-12-23,2232
2018-12-24,2250
2018-12-25,2250
2018-12-26,2234
2018-12-27,2201
2018-12-28,2201
2018-12-29,2230
2018-12-30,2230
2018-12-31,2194
2019-01-01,2194
2019-01-02,2150
2019-01-03,2193
2019-01-04,2193
2019-01-05,2204
2019-01-06,2186
2019-01-08,2141
2019-01-10,2109
2019-01-11,2109
2019-01-12,2157
2019-01-13,2164
2019-01-14,2176
2019-01-15,2155
2019-01-16,2155
2019-01-17,2218
2019-01-18,2218
2019-01-19,2219
2019-01-20,2221
2019-01-21,2221
2019-01-22,2187
2019-01-23,2212
2019-01-25,2238
2019-01-26,2238
2019-01-27,2232
2019-01-28,2235
2019-01-29,2262
2019-01-30,2254
2019-01-31,2254
2019-02-01,2223
2019-02-02,2223
2019-02-03,2179
2019-02-04,2179
