date_obj,Worm%20crunchies price
2019-05-30,1295
2019-05-31,1295
2019-06-01,1295
2019-06-02,1295
2019-06-03,1295
2019-06-04,1295
2019-06-05,1295
2019-06-06,1295
2019-06-07,1295
2019-06-08,1295
2019-06-09,1295
2019-06-10,1295
2019-06-11,1295
2019-06-12,1338
2019-06-13,1338
2019-06-14,1338
2019-06-15,1338
2019-06-16,1338
2019-06-17,1338
2019-06-18,1338
2019-06-19,1338
2019-06-20,1338
2019-06-21,1338
2019-06-22,1338
2019-06-23,1338
2019-06-24,1338
2019-06-25,1338
2019-06-26,1338
2019-06-27,1338
2019-06-28,1338
2019-06-29,1338
2019-06-30,1338
2019-07-01,1338
2019-07-02,1338
2019-07-03,1338
2019-07-04,1338
2019-07-05,1338
2019-07-06,1338
2019-07-07,1338
2019-07-08,1338
2019-07-09,1338
2019-07-10,1338
2019-07-11,1397
2019-07-12,1397
2019-07-13,1397
2019-07-14,1397
2019-07-15,1397
2019-07-16,1397
2019-07-17,1397
2019-07-18,1397
2019-07-19,1397
2019-07-20,1397
2019-07-21,1397
2019-07-22,1397
2019-07-23,1436
2019-07-24,1436
2019-07-25,1436
2019-07-26,1436
