date_obj,Diamond%20amulet%20(u) price
2018-12-16,2092
2018-12-17,2092
2018-12-18,2033
2018-12-19,2033
2018-12-20,2033
2018-12-21,2033
2018-12-22,2033
2018-12-23,2033
2018-12-24,2033
2018-12-25,2033
2018-12-26,2033
2018-12-27,2033
2018-12-28,2033
2018-12-29,2033
2018-12-30,2033
2018-12-31,2033
2019-01-01,2033
2019-01-02,2033
2019-01-03,2033
2019-01-04,2033
2019-01-05,2033
2019-01-06,2050
2019-01-08,2050
2019-01-10,2050
2019-01-11,2050
2019-01-12,2050
2019-01-13,2050
2019-01-14,2050
2019-01-15,2050
2019-01-16,2050
2019-01-17,2050
2019-01-18,2050
2019-01-19,2050
2019-01-20,2050
2019-01-21,2050
2019-01-22,2050
2019-01-23,2065
2019-01-24,2065
2019-01-25,2065
2019-01-26,2065
2019-01-27,2065
2019-01-28,2065
2019-01-29,2065
2019-01-30,2065
2019-01-31,2065
2019-02-01,2065
2019-02-02,2065
2019-02-03,1992
2019-02-04,1992
2019-02-05,1992
2019-02-06,1992
2019-02-07,1992
2019-02-08,1992
2019-02-09,1992
2019-02-10,1992
2019-02-11,1992
2019-02-12,1992
2019-02-13,1992
2019-02-14,1992
2019-02-15,1992
2019-02-16,1992
2019-02-17,1992
2019-02-18,1992
2019-02-19,1994
2019-02-20,1994
2019-02-21,1994
2019-02-22,1994
2019-02-23,1994
2019-02-24,1994
2019-02-25,1994
2019-02-26,1994
2019-02-27,1994
2019-02-28,1994
2019-03-01,1994
2019-03-02,1994
2019-03-03,1994
2019-03-04,1994
2019-03-05,1994
2019-03-06,1994
2019-03-07,1994
2019-03-08,1994
2019-03-09,1994
2019-03-10,1994
2019-03-11,1994
2019-03-12,2076
2019-03-13,2076
2019-03-14,2076
2019-03-15,2076
2019-03-16,2076
2019-03-17,2076
2019-03-18,2076
2019-03-19,2076
2019-03-20,2076
2019-03-21,2076
2019-03-22,2076
2019-03-23,2076
2019-03-24,2076
2019-03-25,2076
2019-03-26,2076
2019-03-27,2076
2019-03-28,2076
2019-03-29,2076
2019-03-30,2076
2019-03-31,2122
2019-04-01,2122
2019-04-02,2122
2019-04-03,2122
2019-04-04,2122
2019-04-05,2122
2019-04-06,2122
2019-04-07,2122
2019-04-08,2122
2019-04-09,2122
2019-04-10,2122
2019-04-11,2122
2019-04-12,2122
2019-04-13,2122
2019-04-14,2059
2019-04-15,2059
2019-04-16,2059
2019-04-17,2059
2019-04-18,2059
2019-04-19,2059
2019-04-20,2059
2019-04-21,2059
2019-04-22,2059
2019-04-23,2059
2019-04-24,2059
2019-04-25,2059
2019-04-26,2059
2019-04-27,2059
2019-04-28,2059
2019-04-29,1985
2019-04-30,1985
2019-05-01,1985
2019-05-02,1985
2019-05-03,1985
2019-05-04,1985
2019-05-05,1985
2019-05-06,1985
2019-05-07,1985
2019-05-08,1985
2019-05-09,1985
2019-05-10,1985
2019-05-11,1985
2019-05-12,1985
2019-05-13,2049
2019-05-14,2049
2019-05-15,2049
2019-05-16,2049
2019-05-17,2049
2019-05-18,2049
2019-05-19,2049
2019-05-20,2049
2019-05-21,2049
2019-05-22,2049
2019-05-23,2049
2019-05-24,2049
2019-05-25,2049
2019-05-26,2049
2019-05-27,2049
2019-05-28,2049
2019-05-29,2049
2019-05-30,2049
2019-05-31,2049
2019-06-01,2049
2019-06-02,2049
2019-06-03,2037
2019-06-04,2037
2019-06-05,2037
2019-06-06,2037
2019-06-07,2037
2019-06-08,2037
2019-06-09,2037
2019-06-10,2037
2019-06-11,2037
2019-06-12,2037
2019-06-13,2037
2019-06-14,2037
2019-06-15,2037
2019-06-16,2037
2019-06-17,2037
2019-06-18,2037
2019-06-19,2037
2019-06-20,2037
2019-06-21,2087
2019-06-22,2087
2019-06-23,2087
2019-06-24,2087
2019-06-25,2087
2019-06-26,2087
2019-06-27,2087
2019-06-28,2087
2019-06-29,2087
2019-06-30,2087
2019-07-01,2087
2019-07-02,2087
2019-07-03,2087
2019-07-04,2087
2019-07-05,2087
2019-07-06,2087
2019-07-07,2087
2019-07-08,2084
2019-07-09,2084
2019-07-10,2084
2019-07-11,2084
2019-07-12,2084
2019-07-13,2084
2019-07-14,2084
2019-07-15,2084
2019-07-16,2084
2019-07-17,2084
2019-07-18,2084
2019-07-19,2084
2019-07-20,2084
2019-07-21,2084
2019-07-22,2084
2019-07-23,2084
2019-07-24,2084
2019-07-25,2055
2019-07-26,2055
2019-07-27,2055
2019-07-28,2055
2019-07-29,2055
2019-07-30,2055
2019-07-31,2055
2019-08-01,2055
2019-08-02,2055
2019-08-03,2055
2019-08-04,2055
2019-08-05,2055
2019-08-06,2055
2019-08-07,2055
2019-08-08,2055
2019-08-09,2055
2019-08-10,1978
2019-08-11,1978
2019-08-12,1978
2019-08-13,1978
2019-08-14,1978
2019-08-15,1978
2019-08-16,1978
2019-08-17,1978
