date_obj,Treasonous%20ring price
2018-04-19,1480764
2018-04-20,1460717
2018-04-21,1460717
2018-04-22,1452543
2018-04-23,1452543
2018-04-24,1433243
2018-04-25,1433243
2018-04-26,1433243
2018-04-27,1428264
2018-04-28,1473673
2018-04-29,1473673
2018-04-30,1523823
2018-05-01,1523823
2018-05-02,1557346
2018-05-03,1557346
2018-05-04,1590009
2018-05-05,1661880
2018-05-06,1661880
2018-05-07,1743815
2018-05-08,1743815
2018-05-09,1764495
2018-05-10,1764495
2018-05-11,1750227
2018-05-12,1750227
2018-05-13,1732417
2018-05-14,1732417
2018-05-15,1728998
2018-05-16,1728998
2018-05-17,1728998
2018-05-18,1669555
2018-05-19,1669555
2018-05-20,1694531
2018-05-21,1694531
2018-05-22,1715259
2018-05-23,1715259
2018-05-24,1690118
2018-05-25,1690118
2018-05-26,1641165
2018-05-27,1641165
2018-05-28,1570023
2018-05-29,1570023
2018-05-30,1527600
2018-05-31,1527600
2018-06-01,1524325
2018-06-02,1524325
2018-06-03,1503414
2018-06-04,1503414
2018-06-05,1572106
2018-06-06,1572106
2018-06-07,1591158
2018-06-08,1515959
2018-06-09,1515959
2018-06-10,1440217
2018-06-11,1440217
2018-06-12,1454279
2018-06-13,1454279
2018-06-14,1402411
2018-06-15,1402411
2018-06-16,1336230
2018-06-17,1336230
2018-06-18,1340565
2018-06-19,1340565
2018-06-20,1273536
2018-06-21,1212372
2018-06-22,1154900
2018-06-23,1154900
2018-06-24,1097155
2018-06-25,1097155
2018-06-26,1042297
2018-06-27,1042297
2018-06-28,1028293
2018-06-29,1028293
2018-06-30,995878
2018-07-01,995878
2018-07-02,964422
2018-07-03,964422
2018-07-04,934910
2018-07-05,934910
2018-07-06,920793
2018-07-07,920793
2018-07-08,931791
2018-07-09,931791
2018-07-10,890570
2018-07-11,890570
2018-07-12,890570
2018-07-13,847135
2018-07-14,805831
2018-07-15,805831
2018-07-16,770217
2018-07-17,761180
2018-07-18,761180
2018-07-19,795162
2018-07-20,795162
2018-07-21,802081
2018-07-22,802081
2018-07-23,779712
2018-07-24,779712
2018-07-25,809019
2018-07-26,809019
2018-07-27,846280
2018-07-28,846280
2018-07-29,835380
2018-07-30,835380
2018-07-31,822341
2018-08-01,822341
2018-08-02,854266
2018-08-03,854266
2018-08-04,884097
2018-08-05,884097
2018-08-06,926042
2018-08-07,926042
2018-08-08,963041
2018-08-09,963041
2018-08-10,921147
2018-08-11,921147
2018-08-12,890841
2018-08-14,870229
2018-08-16,837553
2018-08-17,795730
2018-08-18,795730
2018-08-19,756055
2018-08-20,731217
2018-08-21,731217
2018-08-22,757864
2018-08-23,757864
2018-08-24,751500
2018-08-25,772978
2018-08-26,772978
2018-08-27,798435
2018-08-28,798435
2018-08-29,794664
2018-08-30,794664
2018-08-31,813601
2018-09-01,813601
2018-09-02,795232
2018-09-03,795232
2018-09-04,777677
2018-09-05,777677
2018-09-06,740304
2018-09-07,750924
