date_obj,Raw%20dark%20crab price
2017-11-04,994
2017-11-05,994
2017-11-06,994
2017-11-07,994
2017-11-08,994
2017-11-09,994
2017-11-10,994
2017-11-11,994
2017-11-12,994
2017-11-13,983
2017-11-14,983
2017-11-15,983
2017-11-16,983
2017-11-17,983
2017-11-18,983
2017-11-19,983
2017-11-20,983
2017-11-21,983
2017-11-22,978
2017-11-23,978
2017-11-24,978
2017-11-25,978
2017-11-26,978
2017-11-27,978
2017-11-28,978
2017-11-29,978
2017-11-30,990
2017-12-01,990
2017-12-02,990
2017-12-03,990
2017-12-04,990
2017-12-05,990
2017-12-06,990
2017-12-07,1028
2017-12-08,1028
2017-12-09,1028
2017-12-10,1028
2017-12-11,1028
2017-12-12,1028
2017-12-14,1028
2017-12-15,1028
2017-12-16,1028
2017-12-17,999
2017-12-18,999
2017-12-19,999
2017-12-20,999
2017-12-21,999
2017-12-22,999
2017-12-23,999
2017-12-24,969
2017-12-25,969
2017-12-26,969
2017-12-27,969
2017-12-28,969
2017-12-29,969
2017-12-30,969
2017-12-31,969
2018-01-01,982
2018-01-02,982
2018-01-03,982
2018-01-04,982
2018-01-05,982
2018-01-06,982
2018-01-07,961
2018-01-08,961
2018-01-09,961
2018-01-10,961
2018-01-11,961
2018-01-12,961
2018-01-13,989
2018-01-14,989
2018-01-15,989
2018-01-16,989
2018-01-17,989
2018-01-18,989
2018-01-19,989
2018-01-20,1015
2018-01-21,1015
2018-01-22,1015
2018-01-23,1015
2018-01-24,985
2018-01-25,985
2018-01-26,985
2018-01-27,985
2018-01-28,959
2018-01-29,959
2018-01-31,959
2018-02-01,992
2018-02-02,992
2018-02-03,992
2018-02-04,1015
2018-02-05,1015
2018-02-06,1015
2018-02-07,1015
2018-02-08,1045
2018-02-09,1045
2018-02-10,1045
2018-02-11,1047
2018-02-12,1047
2018-02-13,1047
2018-02-14,1047
2018-02-15,1038
2018-02-16,1038
2018-02-17,1038
2018-02-18,1038
2018-02-19,1027
2018-02-20,1027
2018-02-21,1027
2018-02-22,1027
2018-02-23,1027
2018-02-24,997
2018-02-25,997
2018-02-26,997
2018-02-27,997
2018-02-28,1010
2018-03-01,1010
2018-03-02,1010
2018-03-03,1010
2018-03-04,1010
2018-03-05,979
2018-03-06,979
2018-03-07,979
2018-03-08,979
2018-03-09,964
2018-03-10,964
2018-03-11,964
2018-03-12,964
2018-03-13,928
2018-03-14,928
2018-03-15,928
2018-03-16,928
2018-03-17,946
2018-03-18,946
2018-03-19,946
2018-03-20,946
2018-03-21,946
2018-03-23,928
2018-03-24,928
2018-03-26,928
2018-03-27,936
2018-03-28,936
2018-03-29,936
2018-03-30,936
2018-03-31,936
2018-04-01,936
2018-04-02,950
2018-04-03,950
2018-04-04,950
2018-04-05,950
2018-04-06,950
2018-04-08,905
2018-04-09,905
2018-04-10,905
2018-04-11,905
2018-04-12,874
2018-04-13,874
2018-04-14,874
2018-04-15,874
