date_obj,Light%20trousers price
2018-10-31,419487
2018-11-01,419487
2018-11-03,419487
2018-11-04,419487
2018-11-05,419487
2018-11-06,419487
2018-11-07,401731
2018-11-08,401731
2018-11-09,401731
2018-11-10,401731
2018-11-11,401731
2018-11-12,401731
2018-11-13,401731
2018-11-14,401731
2018-11-15,388607
2018-11-16,388607
2018-11-17,388607
2018-11-18,388607
2018-11-19,388607
2018-11-20,388607
2018-11-21,388607
2018-11-22,388607
2018-11-23,370732
2018-11-24,370732
2018-11-25,370732
2018-11-26,370732
2018-11-27,370732
2018-11-28,370732
2018-11-29,370732
2018-12-01,355355
2018-12-02,355355
2018-12-03,355355
2018-12-04,355355
2018-12-05,355355
2018-12-07,343046
2018-12-09,343046
2018-12-10,343046
2018-12-11,343046
2018-12-12,343046
2018-12-13,336918
2018-12-14,336918
2018-12-15,336918
2018-12-16,336918
2018-12-17,336918
2018-12-18,336918
2018-12-19,336997
2018-12-20,336997
2018-12-21,336997
2018-12-22,336997
2018-12-23,336997
2018-12-24,336997
2018-12-25,336997
2018-12-26,336997
2018-12-27,345174
2018-12-28,345174
2018-12-29,345174
2018-12-30,345174
2018-12-31,345174
2019-01-01,345174
2019-01-02,345174
2019-01-03,345174
2019-01-04,345174
2019-01-05,354364
2019-01-06,354364
2019-01-08,354364
2019-01-10,354364
2019-01-11,354364
2019-01-12,360559
2019-01-13,360559
2019-01-14,360559
2019-01-15,360559
2019-01-16,360559
2019-01-17,360559
2019-01-18,360559
2019-01-19,360559
2019-01-20,346018
2019-01-21,346018
2019-01-22,346018
2019-01-23,346018
2019-01-24,346018
2019-01-25,346018
2019-01-26,346018
2019-01-27,346018
2019-01-28,336467
2019-01-29,336467
2019-01-30,336467
2019-01-31,336467
2019-02-01,336467
2019-02-02,336467
2019-02-03,336467
2019-02-04,336467
2019-02-05,330978
2019-02-06,330978
2019-02-07,330978
2019-02-08,330978
2019-02-09,330978
2019-02-10,330978
2019-02-11,330978
2019-02-12,330978
2019-02-13,318287
2019-02-14,318287
2019-02-15,318287
2019-02-16,318287
2019-02-17,318287
2019-02-18,318287
2019-02-19,318287
2019-02-20,318287
2019-02-21,318287
2019-02-22,310487
2019-02-23,310487
2019-02-24,310487
2019-02-25,310487
2019-02-26,310487
2019-02-27,310487
2019-02-28,310487
2019-03-01,310487
2019-03-02,310487
2019-03-03,310487
2019-03-04,310487
2019-03-05,310487
2019-03-06,304452
2019-03-07,304452
2019-03-08,304452
2019-03-09,304452
2019-03-10,304452
2019-03-11,304452
2019-03-12,304452
2019-03-13,304452
2019-03-14,312732
2019-03-15,312732
2019-03-16,312732
2019-03-17,312732
2019-03-18,312732
2019-03-19,312732
2019-03-20,312732
2019-03-21,312732
2019-03-22,312732
2019-03-23,325630
2019-03-24,325630
