date_obj,Earth%20talisman price
2019-05-19,311
2019-05-20,309
2019-05-21,304
2019-05-22,291
2019-05-23,287
2019-05-24,291
2019-05-25,295
2019-05-26,291
2019-05-27,284
2019-05-28,279
2019-05-29,271
2019-05-30,263
2019-05-31,258
2019-06-01,257
2019-06-02,259
2019-06-03,261
2019-06-04,273
2019-06-05,282
2019-06-06,285
2019-06-07,291
2019-06-08,292
2019-06-09,294
2019-06-10,295
2019-06-11,299
2019-06-12,302
2019-06-13,293
2019-06-14,294
2019-06-15,292
2019-06-16,294
2019-06-17,294
2019-06-18,297
2019-06-19,293
2019-06-20,297
2019-06-21,297
2019-06-22,298
2019-06-23,296
2019-06-24,296
2019-06-25,298
2019-06-26,298
2019-06-27,300
2019-06-28,296
2019-06-29,292
2019-06-30,283
2019-07-01,283
2019-07-02,283
2019-07-03,286
2019-07-04,286
2019-07-05,284
2019-07-06,280
2019-07-07,285
2019-07-08,280
2019-07-09,279
2019-07-10,276
2019-07-11,277
2019-07-12,274
2019-07-13,277
2019-07-14,273
2019-07-15,270
2019-07-16,267
2019-07-17,263
2019-07-18,259
2019-07-19,259
2019-07-20,260
2019-07-21,260
2019-07-22,259
2019-07-23,251
2019-07-24,242
2019-07-25,238
2019-07-26,233
2019-07-27,235
2019-07-28,233
2019-07-29,232
2019-07-30,231
2019-07-31,230
2019-08-01,229
2019-08-02,229
2019-08-03,227
2019-08-04,228
2019-08-05,229
2019-08-06,232
2019-08-07,237
2019-08-08,239
2019-08-09,238
2019-08-10,241
2019-08-11,242
2019-08-12,242
2019-08-13,246
2019-08-14,248
2019-08-15,257
2019-08-16,260
2019-08-17,265
2019-08-18,272
2019-08-19,285
2019-08-20,292
2019-08-21,298
2019-08-22,298
2019-08-23,292
2019-08-24,281
