date_obj,Torstol price
2018-11-11,12173
2018-11-12,12071
2018-11-13,11737
2018-11-14,11653
2018-11-15,11395
2018-11-16,11364
2018-11-17,11392
2018-11-18,11537
2018-11-19,11390
2018-11-20,11396
2018-11-21,11467
2018-11-22,11546
2018-11-23,11635
2018-11-24,11572
2018-11-25,11640
2018-11-26,11584
2018-11-27,11693
2018-11-28,11661
2018-11-29,11553
2018-12-01,11427
2018-12-02,11398
2018-12-03,11553
2018-12-04,11369
2018-12-05,11291
2018-12-07,11319
2018-12-09,11487
2018-12-10,11518
2018-12-11,11531
2018-12-12,11485
2018-12-13,11439
2018-12-14,11412
2018-12-15,11521
2018-12-16,11573
2018-12-17,11628
2018-12-18,11725
2018-12-19,11714
2018-12-20,11808
2018-12-21,11679
2018-12-22,11593
2018-12-23,11581
2018-12-24,11547
2018-12-25,11510
2018-12-26,11495
2018-12-27,11395
2018-12-28,11358
2018-12-29,11382
2018-12-30,11508
2018-12-31,11485
2019-01-01,11535
2019-01-02,11529
2019-01-03,11507
2019-01-04,11524
2019-01-05,11554
2019-01-06,11615
2019-01-08,11597
2019-01-10,11045
2019-01-11,10576
2019-01-12,10078
2019-01-13,9710
2019-01-14,9307
2019-01-15,8903
2019-01-16,8717
2019-01-17,8839
2019-01-18,8991
2019-01-19,9254
2019-01-20,9676
2019-01-21,10014
2019-01-22,9820
2019-01-23,9696
2019-01-24,9511
2019-01-25,9318
2019-01-26,9203
2019-01-27,9105
2019-01-28,9069
2019-01-29,8897
2019-01-30,8841
2019-01-31,8630
2019-02-01,8552
2019-02-02,8654
2019-02-03,8527
2019-02-04,8529
2019-02-05,8514
2019-02-06,8470
2019-02-07,8412
2019-02-08,8247
2019-02-09,8119
2019-02-10,7978
2019-02-11,7988
2019-02-12,8041
2019-02-13,8123
2019-02-14,8203
2019-02-15,8141
2019-02-16,8047
2019-02-17,7991
2019-02-18,7929
2019-02-19,7862
2019-02-20,7869
2019-02-21,7832
2019-02-22,7807
2019-02-23,7817
2019-02-24,7750
2019-02-25,7679
2019-02-26,7673
2019-02-27,7743
2019-02-28,7745
2019-03-01,7756
2019-03-02,7731
2019-03-03,7683
2019-03-04,7625
2019-03-05,7593
2019-03-06,7539
2019-03-07,7536
2019-03-08,7537
2019-03-09,7503
2019-03-10,7530
