date_obj,Diamond%20necklace price
2018-07-06,2101
2018-07-07,2101
2018-07-08,2101
2018-07-09,2101
2018-07-10,2101
2018-07-11,2101
2018-07-12,2101
2018-07-13,2101
2018-07-14,2101
2018-07-15,2101
2018-07-16,2101
2018-07-17,2101
2018-07-18,2101
2018-07-19,2101
2018-07-20,2101
2018-07-21,2101
2018-07-22,2101
2018-07-23,2101
2018-07-24,2122
2018-07-25,2122
2018-07-26,2122
2018-07-27,2122
2018-07-28,2122
2018-07-29,2122
2018-07-30,2122
2018-07-31,2122
2018-08-01,2122
2018-08-02,2122
2018-08-03,2122
2018-08-04,2122
2018-08-05,2122
2018-08-06,2136
2018-08-07,2136
2018-08-08,2136
2018-08-09,2136
2018-08-10,2136
2018-08-11,2136
2018-08-12,2136
2018-08-14,2136
2018-08-16,2136
2018-08-17,2090
2018-08-18,2090
2018-08-19,2090
2018-08-20,2090
2018-08-21,2090
2018-08-22,2090
2018-08-23,2090
2018-08-24,2090
2018-08-25,2090
2018-08-26,2090
2018-08-27,2090
2018-08-28,2090
2018-08-29,2079
2018-08-30,2079
2018-08-31,2079
2018-09-01,2079
2018-09-02,2079
2018-09-03,2079
2018-09-04,2079
2018-09-05,2079
2018-09-06,2079
2018-09-07,2079
2018-09-08,2079
2018-09-09,2079
2018-09-10,2085
2018-09-11,2085
2018-09-12,2085
2018-09-13,2085
2018-09-14,2085
2018-09-15,2085
2018-09-16,2085
2018-09-17,2085
2018-09-18,2085
2018-09-19,2085
2018-09-20,2085
2018-09-21,2085
2018-09-22,2085
2018-09-23,2085
2018-09-24,2091
2018-09-25,2091
2018-09-26,2091
2018-09-27,2091
2018-09-28,2091
2018-09-29,2091
2018-09-30,2091
2018-10-01,2091
2018-10-02,2091
2018-10-03,2091
2018-10-04,2091
2018-10-05,2091
2018-10-06,2091
2018-10-07,2099
2018-10-08,2099
2018-10-09,2099
2018-10-10,2099
2018-10-11,2099
2018-10-12,2099
2018-10-13,2099
2018-10-14,2099
2018-10-15,2099
2018-10-16,2099
2018-10-17,2099
2018-10-18,2099
2018-10-19,2099
2018-10-20,2099
2018-10-21,2095
2018-10-22,2095
2018-10-23,2095
2018-10-24,2095
2018-10-25,2095
2018-10-26,2095
2018-10-27,2095
2018-10-28,2095
2018-10-29,2095
2018-10-30,2095
2018-10-31,2095
2018-11-01,2088
2018-11-03,2088
2018-11-04,2088
2018-11-05,2088
2018-11-06,2083
2018-11-07,2083
2018-11-08,2083
2018-11-09,2083
2018-11-10,2083
2018-11-11,2084
2018-11-12,2084
2018-11-13,2084
2018-11-14,2084
2018-11-15,2107
2018-11-16,2107
2018-11-17,2107
2018-11-18,2107
2018-11-19,2107
2018-11-20,2092
2018-11-21,2092
2018-11-22,2092
2018-11-23,2092
2018-11-24,2092
2018-11-25,2079
2018-11-26,2079
2018-11-27,2079
2018-11-28,2079
2018-11-29,2079
2018-12-01,2107
2018-12-02,2107
2018-12-03,2107
2018-12-04,2107
2018-12-05,2073
2018-12-07,2073
2018-12-09,2073
2018-12-10,2073
2018-12-11,2073
2018-12-12,2073
2018-12-13,2073
2018-12-14,2073
2018-12-15,2073
2018-12-16,2073
2018-12-17,2072
2018-12-18,2072
2018-12-19,2072
2018-12-20,2072
2018-12-21,2072
2018-12-22,2072
2018-12-23,2063
2018-12-24,2063
2018-12-25,2063
2018-12-26,2063
2018-12-27,2063
2018-12-28,2068
2018-12-29,2068
2018-12-30,2068
2018-12-31,2068
2019-01-01,2068
2019-01-02,2079
2019-01-03,2079
2019-01-04,2079
2019-01-05,2079
2019-01-06,2079
2019-01-08,2088
2019-01-10,2088
2019-01-11,2088
2019-01-12,2060
2019-01-13,2060
2019-01-14,2060
2019-01-15,2060
2019-01-16,2060
2019-01-17,2030
2019-01-18,2030
2019-01-19,2030
2019-01-20,2030
2019-01-21,2030
2019-01-22,2040
2019-01-23,2040
2019-01-24,2040
2019-01-25,2040
2019-01-26,2040
2019-01-27,2058
2019-01-28,2058
2019-01-29,2058
2019-01-30,2058
2019-01-31,2058
2019-02-01,2042
2019-02-02,2042
2019-02-03,2042
2019-02-04,2042
2019-02-05,2042
2019-02-06,2042
2019-02-07,2067
2019-02-08,2067
