date_obj,Saradomin%20dragonhide%20set price
2017-07-17,537596
2017-07-18,537596
2017-07-19,529344
2017-07-20,529344
2017-07-21,529344
2017-07-22,529344
2017-07-23,524674
2017-07-24,524674
2017-07-25,524674
2017-07-26,524674
2017-07-27,524674
2017-07-28,525213
2017-07-29,525213
2017-07-30,525213
2017-07-31,525213
2017-08-01,525213
2017-08-02,510619
2017-08-03,510619
2017-08-04,510619
2017-08-05,510619
2017-08-06,528619
2017-08-09,528619
2017-08-10,545128
2017-08-11,545128
2017-08-12,545128
2017-08-13,545128
2017-08-14,547607
2017-08-15,547607
2017-08-17,547607
2017-08-18,547607
2017-08-19,560110
2017-08-20,560110
2017-08-21,560110
2017-08-22,560110
2017-08-23,575341
2017-08-24,575341
2017-08-25,575341
2017-08-26,575341
2017-08-27,556305
2017-08-28,556305
2017-08-29,556305
2017-08-30,556305
2017-08-31,556305
2017-09-01,556305
2017-09-02,548910
2017-09-03,548910
2017-09-04,548910
2017-09-05,548910
2017-09-06,558481
2017-09-07,558481
2017-09-08,558481
2017-09-09,558481
2017-09-10,554532
2017-09-11,554532
2017-09-12,554532
2017-09-13,554532
2017-09-14,565413
2017-09-15,565413
2017-09-16,565413
2017-09-17,565413
2017-09-19,575310
2017-09-20,575310
2017-09-21,575310
2017-09-22,572277
2017-09-23,572277
2017-09-24,572277
2017-09-25,572277
2017-09-26,572277
2017-09-27,566254
2017-09-28,566254
2017-09-29,566254
2017-09-30,566254
2017-10-01,580670
2017-10-02,580670
2017-10-03,580670
2017-10-04,580670
2017-10-05,589940
2017-10-06,589940
2017-10-07,589940
2017-10-08,589940
2017-10-09,593413
2017-10-10,593413
2017-10-11,593413
2017-10-12,593413
2017-10-13,616753
2017-10-14,616753
2017-10-15,616753
2017-10-16,616753
2017-10-17,616753
2017-10-18,632149
2017-10-19,632149
2017-10-20,632149
2017-10-21,632149
2017-10-22,638155
2017-10-23,638155
2017-10-24,638155
2017-10-25,638155
2017-10-26,640591
2017-10-27,640591
2017-10-28,640591
2017-10-29,640591
2017-10-30,640591
2017-10-31,654873
2017-11-01,654873
2017-11-02,654873
2017-11-03,654873
2017-11-04,685397
2017-11-05,685397
2017-11-06,685397
2017-11-07,685397
2017-11-08,685397
2017-11-09,711579
2017-11-10,711579
2017-11-11,711579
2017-11-12,711579
2017-11-13,711579
2017-11-14,711579
2017-11-15,697119
2017-11-16,697119
2017-11-17,697119
2017-11-18,697119
2017-11-19,697119
2017-11-20,662918
2017-11-21,662918
2017-11-22,662918
2017-11-23,662918
2017-11-24,662918
2017-11-25,630635
2017-11-26,630635
2017-11-27,630635
2017-11-28,630635
2017-11-29,630635
2017-11-30,630635
2017-12-01,599103
2017-12-02,599103
2017-12-03,599103
2017-12-04,599103
2017-12-05,569503
2017-12-06,569503
2017-12-07,569503
2017-12-08,569503
2017-12-09,569503
2017-12-10,541045
2017-12-11,541045
2017-12-12,541045
2017-12-13,541045
2017-12-14,541045
2017-12-15,524835
2017-12-16,524835
2017-12-17,524835
2017-12-18,524835
2017-12-19,532148
2017-12-20,532148
2017-12-21,532148
2017-12-22,532148
2017-12-23,543787
2017-12-24,543787
2017-12-25,543787
2017-12-26,543787
2017-12-27,562885
2017-12-28,562885
2017-12-29,562885
2017-12-30,578892
2017-12-31,578892
2018-01-01,578892
2018-01-02,578892
2018-01-03,605708
2018-01-04,605708
2018-01-05,605708
2018-01-06,633729
2018-01-07,633729
2018-01-08,633729
2018-01-09,633729
2018-01-10,662553
2018-01-11,662553
2018-01-12,662553
2018-01-13,662553
2018-01-14,665732
2018-01-15,665732
2018-01-16,665732
2018-01-17,665732
2018-01-18,640522
2018-01-19,640522
2018-01-20,640522
2018-01-21,640522
2018-01-22,620017
2018-01-23,620017
2018-01-24,621055
2018-01-25,621055
2018-01-26,621055
2018-01-27,607483
2018-01-28,607483
2018-01-29,598254
2018-01-30,598254
2018-02-01,599214
2018-02-02,599214
2018-02-03,598609
2018-02-04,598609
2018-02-05,608392
2018-02-06,608392
2018-02-07,625956
2018-02-08,625956
2018-02-09,650632
2018-02-10,650632
2018-02-11,675935
2018-02-12,675935
2018-02-13,700899
2018-02-14,700899
2018-02-15,676435
2018-02-16,676435
2018-02-17,651018
2018-02-18,651018
2018-02-19,627054
2018-02-20,627054
2018-02-21,602602
2018-02-22,602602
2018-02-23,581653
2018-02-24,581653
2018-02-25,574876
2018-02-26,574876
2018-02-27,582230
2018-02-28,582230
2018-03-01,582230
2018-03-02,587817
2018-03-03,587817
2018-03-04,604005
2018-03-05,604005
2018-03-06,613348
2018-03-07,613348
2018-03-08,601147
2018-03-09,601147
2018-03-10,602782
2018-03-11,602782
2018-03-12,617364
2018-03-13,617364
2018-03-14,617364
2018-03-15,625173
2018-03-16,625173
2018-03-17,631507
2018-03-18,631507
2018-03-19,631507
2018-03-20,620345
2018-03-21,620345
2018-03-23,615081
2018-03-24,615081
2018-03-26,622436
2018-03-27,621624
2018-03-28,621624
2018-03-29,621624
2018-03-30,622031
2018-03-31,622031
2018-04-01,631919
2018-04-02,631919
2018-04-03,650256
2018-04-04,650256
2018-04-05,650256
2018-04-06,652463
2018-04-08,652463
2018-04-09,643632
2018-04-10,643632
2018-04-11,643632
2018-04-12,660502
2018-04-13,660502
2018-04-14,660502
2018-04-15,679328
2018-04-16,679328
2018-04-17,679328
2018-04-18,698821
2018-04-19,698821
2018-04-20,715573
2018-04-21,715573
2018-04-22,715573
2018-04-23,745910
2018-04-24,745910
2018-04-25,745910
2018-04-26,770084
2018-04-27,770084
2018-04-28,785951
2018-04-29,785951
2018-04-30,810990
2018-05-01,810990
2018-05-02,810990
2018-05-03,825790
2018-05-04,825790
2018-05-05,805581
2018-05-06,805581
2018-05-07,805581
2018-05-08,805581
2018-05-09,803408
2018-05-10,803408
2018-05-11,803408
2018-05-12,790173
2018-05-13,790173
2018-05-14,790173
2018-05-15,770889
2018-05-16,770889
2018-05-17,770889
2018-05-18,775370
2018-05-19,775370
2018-05-20,803098
2018-05-21,803098
2018-05-22,799528
2018-05-23,799528
2018-05-24,799192
2018-05-25,799192
2018-05-26,811573
2018-05-27,811573
2018-05-28,828872
2018-05-29,828872
2018-05-30,828872
2018-05-31,837895
2018-06-01,837895
2018-06-02,828166
2018-06-03,828166
2018-06-04,828166
2018-06-05,836331
2018-06-06,836331
2018-06-07,836331
2018-06-08,827523
2018-06-09,827523
2018-06-10,812906
2018-06-11,812906
2018-06-12,812906
2018-06-13,783138
2018-06-14,783138
2018-06-15,760954
2018-06-16,760954
2018-06-17,748904
2018-06-18,748904
2018-06-19,734904
2018-06-20,734904
2018-06-21,730150
2018-06-22,730150
2018-06-23,732450
2018-06-24,732450
2018-06-25,732450
2018-06-26,755444
2018-06-27,755444
2018-06-28,755444
2018-06-29,779703
2018-06-30,779703
2018-07-01,810119
2018-07-02,810119
2018-07-03,840643
2018-07-04,840643
2018-07-05,840643
2018-07-06,831528
2018-07-07,831528
2018-07-08,840451
2018-07-09,840451
2018-07-10,870348
2018-07-11,870348
2018-07-12,870348
2018-07-13,901803
2018-07-14,901803
2018-07-15,883889
2018-07-16,883889
2018-07-17,874704
2018-07-18,874704
2018-07-19,874704
2018-07-20,880850
2018-07-21,880850
2018-07-22,897345
2018-07-23,897345
2018-07-24,920190
2018-07-25,920190
2018-07-26,911333
2018-07-27,911333
2018-07-28,912609
2018-07-29,912609
2018-07-30,880596
2018-07-31,880596
2018-08-01,850983
2018-08-02,850983
2018-08-03,825173
2018-08-04,834682
2018-08-05,834682
2018-08-06,853500
2018-08-07,853500
2018-08-08,847323
2018-08-09,847323
2018-08-10,865212
2018-08-11,865212
2018-08-12,857988
2018-08-14,860708
2018-08-16,860708
2018-08-17,860342
2018-08-18,860342
2018-08-19,860342
2018-08-20,846399
2018-08-21,846399
2018-08-22,813649
2018-08-23,813649
2018-08-24,783327
2018-08-25,783327
2018-08-26,752967
2018-08-27,752967
2018-08-28,740013
2018-08-29,740013
2018-08-30,758678
2018-08-31,758678
2018-09-01,782935
2018-09-02,782935
2018-09-03,803750
2018-09-04,803750
2018-09-05,820537
2018-09-06,820537
2018-09-07,794474
2018-09-08,794474
2018-09-09,795710
2018-09-10,795710
2018-09-11,803401
2018-09-12,803401
2018-09-13,793527
2018-09-14,793527
2018-09-15,788016
2018-09-16,788016
2018-09-17,788016
2018-09-18,792339
2018-09-19,792339
2018-09-20,793123
2018-09-21,793123
2018-09-22,770755
2018-09-23,770755
2018-09-24,794688
2018-09-25,794688
2018-09-26,816711
2018-09-27,816711
2018-09-28,837658
2018-09-29,837658
2018-09-30,804384
2018-10-02,797063
2018-10-03,784228
2018-10-04,784228
2018-10-05,784228
2018-10-06,776080
2018-10-07,776080
2018-10-08,791030
2018-10-09,791030
2018-10-10,805147
2018-10-11,805147
2018-10-12,805147
2018-10-13,804042
2018-10-14,804042
2018-10-15,804413
2018-10-16,804413
2018-10-17,796752
2018-10-18,796752
2018-10-19,796393
2018-10-20,796393
2018-10-21,796393
2018-10-22,793160
2018-10-23,793160
2018-10-24,813155
2018-10-25,813155
2018-10-26,811484
2018-10-27,811484
2018-10-28,810299
2018-10-29,810299
2018-10-30,810299
2018-10-31,797936
2018-11-01,797936
2018-11-03,815233
2018-11-04,808986
2018-11-05,813281
2018-11-06,795712
2018-11-07,795712
2018-11-08,781185
2018-11-09,781185
2018-11-10,812643
2018-11-11,812643
2018-11-12,842843
2018-11-13,842843
2018-11-14,864755
2018-11-15,883189
2018-11-16,893291
2018-11-17,893291
2018-11-18,902846
2018-11-19,929415
2018-11-20,934353
2018-11-21,934353
2018-11-22,937726
2018-11-23,973336
2018-11-24,974787
2018-11-25,988988
2018-11-26,988988
2018-11-27,987825
2018-11-28,977777
2018-11-29,970723
2018-12-01,993479
2018-12-02,1024763
2018-12-03,1024763
2018-12-04,1055833
2018-12-05,1073114
2018-12-07,1061066
2018-12-09,1072882
2018-12-10,1052785
2018-12-11,1052785
2018-12-13,1013615
2018-12-14,994586
2018-12-15,983468
2018-12-16,1000413
2018-12-17,1000413
2018-12-18,1022861
2018-12-19,1022861
2018-12-20,1005703
2018-12-21,1000108
2018-12-22,1000108
2018-12-23,1005051
2018-12-24,1005051
2018-12-25,1016566
2018-12-26,1016566
2018-12-27,1022407
2018-12-28,1022407
2018-12-29,1068145
2018-12-30,1068145
2018-12-31,1073566
2019-01-01,1073566
2019-01-02,1069450
2019-01-03,1084282
2019-01-04,1084282
2019-01-05,1089323
2019-01-06,1068976
2019-01-08,1078677
2019-01-10,1038535
2019-01-11,1054072
2019-01-12,1096744
2019-01-13,1146088
2019-01-14,1195175
2019-01-15,1243252
2019-01-16,1286934
2019-01-17,1296109
2019-01-18,1296348
2019-01-19,1266121
2019-01-20,1280321
2019-01-21,1280321
2019-01-22,1257625
2019-01-23,1252992
2019-01-25,1234201
2019-01-26,1214076
2019-01-27,1185798
2019-01-28,1183571
2019-01-29,1166915
2019-01-30,1145296
2019-01-31,1145296
2019-02-01,1165865
2019-02-02,1181668
2019-02-03,1177064
2019-02-04,1177064
2019-02-05,1176154
2019-02-06,1176154
2019-02-07,1161253
2019-02-08,1161253
2019-02-09,1165207
2019-02-10,1149108
2019-02-11,1149108
2019-02-12,1149697
2019-02-13,1147459
2019-02-14,1147459
2019-02-15,1135057
2019-02-16,1134529
2019-02-17,1134529
2019-02-18,1121504
2019-02-19,1121504
2019-02-20,1104801
2019-02-21,1080508
2019-02-22,1080508
2019-02-23,1061917
2019-02-24,1054998
2019-02-25,1048797
2019-02-26,1048797
2019-02-27,1039463
2019-02-28,1039463
2019-03-01,1024626
2019-03-02,1018444
2019-03-03,1010524
2019-03-04,1005906
2019-03-05,1018590
2019-03-06,1019740
2019-03-07,1019740
2019-03-08,1012085
2019-03-09,1026115
2019-03-10,1053703
