date_obj,Black%20platelegs price
2018-06-10,1573
2018-06-11,1652
2018-06-12,1735
2018-06-13,1791
2018-06-14,1714
2018-06-15,1663
2018-06-16,1608
2018-06-17,1592
2018-06-18,1652
2018-06-19,1712
2018-06-20,1791
2018-06-21,1763
2018-06-22,1794
2018-06-23,1867
2018-06-24,1937
2018-06-25,2030
2018-06-26,2100
2018-06-27,2184
2018-06-28,2279
2018-06-29,2236
2018-06-30,2242
2018-07-01,2218
2018-07-02,2226
2018-07-03,2212
2018-07-04,2267
2018-07-05,2334
2018-07-06,2370
2018-07-07,2323
2018-07-08,2257
2018-07-09,2316
2018-07-10,2421
2018-07-11,2371
2018-07-12,2367
2018-07-13,2285
2018-07-14,2266
2018-07-15,2264
2018-07-16,2317
2018-07-17,2400
2018-07-18,2292
2018-07-19,2221
2018-07-20,2273
2018-07-21,2303
2018-07-22,2195
2018-07-23,2129
2018-07-24,2068
2018-07-25,1983
2018-07-26,1891
2018-07-27,1864
2018-07-28,1922
2018-07-29,1928
2018-07-30,1943
2018-07-31,1966
2018-08-01,2010
2018-08-02,2007
2018-08-03,2068
2018-08-04,2082
2018-08-05,2040
2018-08-06,2020
2018-08-07,2034
2018-08-08,2006
2018-08-09,2021
2018-08-10,1975
2018-08-11,2034
2018-08-12,2081
2018-08-14,2000
2018-08-16,2051
2018-08-17,2019
2018-08-18,1935
2018-08-19,1859
2018-08-20,1808
2018-08-21,1736
2018-08-22,1692
2018-08-23,1762
2018-08-24,1762
2018-08-25,1789
2018-08-26,1844
2018-08-27,1912
2018-08-28,1921
2018-08-29,1946
2018-08-30,1920
2018-08-31,1947
2018-09-01,1982
2018-09-02,2012
2018-09-03,2027
2018-09-04,2092
2018-09-05,2150
2018-09-06,2231
2018-09-07,2229
2018-09-08,2142
2018-09-09,2049
2018-09-10,1960
2018-09-11,1902
2018-09-12,1806
2018-09-13,1739
2018-09-14,1765
2018-09-15,1744
2018-09-16,1773
2018-09-17,1826
2018-09-18,1915
2018-09-19,1953
2018-09-20,2040
2018-09-21,2065
2018-09-22,2121
2018-09-23,2165
2018-09-24,2258
2018-09-25,2297
2018-09-26,2354
2018-09-27,2384
2018-09-28,2414
2018-09-29,2428
2018-09-30,2430
2018-10-01,2458
2018-10-02,2451
2018-10-03,2447
2018-10-04,2424
2018-10-05,2346
2018-10-06,2286
2018-10-07,2190
2018-10-08,2115
2018-10-09,2052
2018-10-10,2033
2018-10-11,1952
2018-10-12,1894
2018-10-13,1809
2018-10-14,1764
2018-10-15,1746
2018-10-16,1696
2018-10-17,1693
2018-10-18,1633
2018-10-19,1608
2018-10-20,1626
2018-10-21,1672
2018-10-22,1714
2018-10-23,1729
2018-10-24,1733
2018-10-25,1738
2018-10-26,1750
2018-10-27,1716
2018-10-28,1713
2018-10-29,1724
2018-10-30,1732
2018-10-31,1811
2018-11-01,1902
2018-11-03,2098
2018-11-04,2203
2018-11-05,2314
2018-11-06,2430
2018-11-07,2542
2018-11-08,2613
2018-11-09,2706
2018-11-10,2804
2018-11-11,2941
2018-11-12,3073
2018-11-13,3076
2018-11-15,2978
2018-11-16,2849
2018-11-17,2744
2018-11-18,2631
2018-11-19,2513
2018-11-20,2423
2018-11-21,2355
2018-11-22,2276
2018-11-23,2215
2018-11-24,2193
2018-11-25,2186
2018-11-26,2258
2018-11-27,2220
2018-11-28,2140
2018-11-29,2080
2018-12-01,2091
2018-12-02,2159
2018-12-03,2176
2018-12-04,2274
2018-12-05,2327
2018-12-07,2237
2018-12-09,2178
2018-12-10,2160
2018-12-11,2187
2018-12-12,2220
2018-12-13,2235
2018-12-14,2279
2018-12-15,2174
2018-12-16,2104
2018-12-17,2079
2018-12-18,2081
2018-12-19,2017
2018-12-20,1947
2018-12-21,1922
2018-12-22,1907
2018-12-23,1920
2018-12-24,1924
2018-12-25,1916
2018-12-26,1952
2018-12-27,1987
2018-12-28,1960
2018-12-29,1955
2018-12-30,1979
2018-12-31,2026
2019-01-01,2055
2019-01-02,2072
2019-01-03,2103
2019-01-04,2139
2019-01-05,2116
2019-01-06,2171
2019-01-08,2180
2019-01-10,2071
2019-01-11,1977
2019-01-12,1912
2019-01-13,1863
2019-01-14,1795
2019-01-15,1783
2019-01-16,1723
2019-01-17,1674
2019-01-18,1616
2019-01-19,1563
2019-01-20,1488
2019-01-21,1427
2019-01-22,1415
2019-01-23,1350
2019-01-24,1343
2019-01-25,1389
2019-01-26,1409
2019-01-27,1405
2019-01-28,1399
2019-01-29,1394
2019-01-30,1400
2019-01-31,1397
2019-02-01,1378
2019-02-02,1320
2019-02-03,1318
2019-02-04,1271
2019-02-05,1214
2019-02-06,1155
2019-02-07,1130
2019-02-08,1163
2019-02-09,1173
2019-02-10,1175
2019-02-11,1142
2019-02-12,1145
2019-02-13,1113
2019-02-14,1076
2019-02-15,1064
2019-02-16,1064
2019-02-17,1055
2019-02-18,1053
2019-02-19,1083
2019-02-20,1080
2019-02-21,1082
2019-02-22,1059
2019-02-23,1035
2019-02-24,1022
2019-02-25,1015
2019-02-26,1032
2019-02-27,1084
2019-02-28,1132
2019-03-01,1143
2019-03-02,1150
2019-03-03,1142
2019-03-04,1140
