date_obj,Rock-shell%20chunk price
2019-05-16,12046
2019-05-17,12046
2019-05-18,12046
2019-05-19,11618
2019-05-20,11618
2019-05-21,11618
2019-05-22,11618
2019-05-23,11618
2019-05-24,11618
2019-05-25,11618
2019-05-26,11618
2019-05-27,11618
2019-05-28,11618
2019-05-29,11618
2019-05-30,11618
2019-05-31,11618
2019-06-01,11618
2019-06-02,11618
2019-06-03,11618
2019-06-04,11188
2019-06-05,11188
2019-06-06,11188
2019-06-07,11188
2019-06-08,11188
2019-06-09,11188
2019-06-10,11188
2019-06-11,11188
2019-06-12,11188
2019-06-13,11188
2019-06-14,11188
2019-06-15,11188
2019-06-16,11188
2019-06-17,11188
2019-06-18,11188
2019-06-19,11188
2019-06-20,11167
2019-06-21,11167
2019-06-22,11167
2019-06-23,11167
2019-06-24,11167
2019-06-25,11167
2019-06-26,11167
2019-06-27,11167
2019-06-28,11167
2019-06-29,11167
2019-06-30,11167
2019-07-01,11167
2019-07-02,11167
2019-07-03,11167
2019-07-04,11167
2019-07-05,11184
2019-07-06,11184
2019-07-07,11184
2019-07-08,11184
2019-07-09,11184
2019-07-10,11184
2019-07-11,11184
2019-07-12,11184
2019-07-13,11184
2019-07-14,11184
2019-07-15,11184
2019-07-16,11184
2019-07-17,11184
2019-07-18,11184
2019-07-19,11184
2019-07-20,11184
2019-07-21,10847
2019-07-22,10847
2019-07-23,10847
2019-07-24,10847
2019-07-25,10847
2019-07-26,10847
2019-07-27,10847
2019-07-28,10847
2019-07-29,10847
2019-07-30,10847
2019-07-31,10847
2019-08-01,10847
2019-08-02,10847
2019-08-03,10847
2019-08-04,10774
2019-08-05,10774
2019-08-06,10774
2019-08-07,10774
2019-08-08,10774
2019-08-09,10774
2019-08-10,10774
2019-08-11,10774
2019-08-12,10774
2019-08-13,10774
2019-08-14,10774
