date_obj,Rune%20cane price
2019-01-18,8389
2019-01-19,8386
2019-01-20,8503
2019-01-21,8503
2019-01-22,8547
2019-01-23,8523
2019-01-24,8394
2019-01-25,8221
2019-01-26,8048
2019-01-27,8311
2019-01-29,8391
2019-01-30,8353
2019-01-31,8357
2019-02-01,8321
2019-02-02,8257
2019-02-03,8349
2019-02-04,8349
2019-02-05,8421
2019-02-06,8421
2019-02-07,8395
2019-02-08,8458
2019-02-09,8433
2019-02-10,8348
2019-02-11,8322
2019-02-12,8322
2019-02-13,8387
2019-02-14,8387
2019-02-15,8474
2019-02-16,8379
2019-02-17,8410
2019-02-18,8278
2019-02-19,8349
2019-02-20,8347
2019-02-21,8306
2019-02-22,8272
2019-02-23,8384
2019-02-24,8305
2019-02-25,8430
2019-02-26,8430
2019-02-27,8386
2019-02-28,8386
2019-03-01,8340
2019-03-02,8270
2019-03-03,8241
2019-03-04,8356
2019-03-05,8422
2019-03-06,8420
2019-03-07,8422
2019-03-08,8422
2019-03-09,8368
2019-03-10,8473
2019-03-11,8285
2019-03-12,8331
2019-03-13,8331
2019-03-14,8322
2019-03-15,8322
2019-03-16,8480
2019-03-17,8465
2019-03-18,8465
2019-03-19,8338
2019-03-20,8394
2019-03-21,8394
2019-03-22,8406
2019-03-23,8251
2019-03-24,8243
2019-03-25,8243
2019-03-26,8300
2019-03-27,8300
2019-03-28,8287
2019-03-29,8192
2019-03-30,8192
