date_obj,Mithril%20kiteshield%20(g) price
2018-11-18,31176
2018-11-19,32722
2018-11-20,34350
2018-11-21,35372
2018-11-22,36821
2018-11-23,38647
2018-11-24,40153
2018-11-25,41239
2018-11-26,42009
2018-11-27,42129
2018-11-28,42111
2018-11-29,40371
2018-12-01,37640
2018-12-02,36304
2018-12-03,34712
2018-12-05,32020
2018-12-07,29230
2018-12-09,28204
2018-12-10,27215
2018-12-11,26111
2018-12-12,25340
2018-12-13,24675
2018-12-14,23985
2018-12-15,23370
2018-12-16,23162
2018-12-17,22862
2018-12-18,22356
2018-12-19,21768
2018-12-20,21106
2018-12-21,20431
2018-12-22,20185
2018-12-23,19688
2018-12-24,19675
2018-12-25,19744
2018-12-26,19099
2018-12-27,18932
2018-12-28,18729
2018-12-29,18269
2018-12-30,17859
2018-12-31,17995
2019-01-01,18608
2019-01-02,18968
2019-01-03,19199
2019-01-04,19445
2019-01-05,19495
2019-01-06,19226
2019-01-08,17933
2019-01-10,16659
2019-01-11,16476
2019-01-12,16108
2019-01-13,15561
2019-01-14,15094
2019-01-15,14933
2019-01-16,14750
2019-01-17,14408
2019-01-18,14121
2019-01-19,14246
2019-01-20,14242
2019-01-21,14298
2019-01-22,14059
2019-01-23,14027
2019-01-24,14106
2019-01-25,13713
2019-01-26,13076
2019-01-27,12770
2019-01-28,12366
2019-01-29,12185
2019-01-30,11878
2019-01-31,11469
2019-02-01,11237
2019-02-02,11055
2019-02-03,10944
2019-02-04,10683
2019-02-05,10505
2019-02-06,10450
2019-02-07,10639
2019-02-08,10552
2019-02-09,10438
2019-02-10,10544
2019-02-11,10215
2019-02-12,9956
2019-02-13,9814
2019-02-14,9911
2019-02-15,9904
2019-02-16,9730
2019-02-17,9347
2019-02-18,9198
2019-02-19,9281
2019-02-20,9550
2019-02-21,9613
2019-02-22,9739
2019-02-23,9569
2019-02-24,9265
2019-02-25,9058
2019-02-26,8885
2019-02-27,8735
2019-02-28,8534
2019-03-01,8353
2019-03-02,8233
2019-03-03,8117
2019-03-04,8000
2019-03-05,7953
2019-03-06,7904
2019-03-07,7734
2019-03-08,7747
2019-03-09,7697
2019-03-10,7681
2019-03-11,7808
2019-03-12,7932
2019-03-13,7964
2019-03-14,8038
2019-03-15,8080
2019-03-16,8093
2019-03-17,8313
2019-03-18,8223
2019-03-19,8278
2019-03-20,8274
2019-03-21,8098
2019-03-22,8100
2019-03-23,8249
2019-03-24,8377
2019-03-25,8296
