date_obj,Garden%20pie price
2019-02-24,98
2019-02-25,99
2019-02-26,103
2019-02-27,109
2019-02-28,114
2019-03-01,120
2019-03-02,125
2019-03-03,131
2019-03-04,134
2019-03-05,130
2019-03-06,123
2019-03-07,118
2019-03-08,119
2019-03-09,120
2019-03-10,122
2019-03-11,123
2019-03-12,126
2019-03-13,132
2019-03-14,132
2019-03-15,139
2019-03-16,143
2019-03-17,145
2019-03-18,147
2019-03-19,151
2019-03-20,152
2019-03-21,154
2019-03-22,155
2019-03-23,158
2019-03-24,161
2019-03-25,152
2019-03-26,144
2019-03-27,140
2019-03-28,136
2019-03-29,131
2019-03-30,130
2019-03-31,128
2019-04-01,122
2019-04-02,118
2019-04-03,120
2019-04-04,115
2019-04-05,115
2019-04-06,113
2019-04-07,114
2019-04-08,117
2019-04-09,114
2019-04-10,110
2019-04-11,106
2019-04-12,103
2019-04-13,99
2019-04-14,98
2019-04-15,95
2019-04-16,90
2019-04-17,85
2019-04-18,81
2019-04-19,80
2019-04-20,77
2019-04-21,77
2019-04-22,75
2019-04-23,73
2019-04-24,71
2019-04-25,70
2019-04-26,73
2019-04-27,74
2019-04-28,76
2019-04-29,80
2019-04-30,80
2019-05-01,76
2019-05-02,73
2019-05-03,70
2019-05-04,68
2019-05-05,66
2019-05-06,63
2019-05-07,60
2019-05-08,59
2019-05-09,60
2019-05-10,60
2019-05-11,63
2019-05-12,65
2019-05-13,63
2019-05-14,62
2019-05-15,64
2019-05-16,67
2019-05-17,68
2019-05-18,69
2019-05-19,72
2019-05-20,75
2019-05-21,77
2019-05-22,79
2019-05-23,79
2019-05-24,75
2019-05-25,75
2019-05-26,75
2019-05-27,78
2019-05-28,76
2019-05-29,76
2019-05-30,80
2019-05-31,81
2019-06-01,84
2019-06-02,84
2019-06-03,88
2019-06-04,91
2019-06-05,91
2019-06-06,87
2019-06-07,84
2019-06-08,83
2019-06-09,83
2019-06-10,79
2019-06-11,80
2019-06-12,82
2019-06-13,84
2019-06-14,85
2019-06-15,89
2019-06-16,87
2019-06-17,83
2019-06-18,81
2019-06-19,80
2019-06-20,77
2019-06-21,77
2019-06-22,77
2019-06-23,77
2019-06-24,78
2019-06-25,74
2019-06-26,71
2019-06-27,73
2019-06-28,77
2019-06-29,81
2019-06-30,80
2019-07-01,76
2019-07-02,77
2019-07-03,76
2019-07-04,75
2019-07-05,77
2019-07-06,78
2019-07-07,78
2019-07-08,76
2019-07-09,79
2019-07-10,81
2019-07-11,82
2019-07-12,82
2019-07-13,85
2019-07-14,84
2019-07-15,79
2019-07-16,75
2019-07-17,76
2019-07-18,77
2019-07-19,79
2019-07-20,80
2019-07-21,77
2019-07-22,74
2019-07-23,70
2019-07-24,67
2019-07-25,68
2019-07-26,68
2019-07-27,67
